Timing is on.
 i_manufact_id | total_sales 
---------------+-------------
           950 |     1674.36
           959 |     1977.02
           938 |     2127.98
           696 |     2387.00
           877 |     2649.58
           999 |     4836.38
           863 |     4924.80
           925 |     5330.54
           783 |     5383.90
           759 |     6728.84
           688 |     6885.34
           983 |     7134.89
           870 |     7542.44
           803 |     8186.94
           989 |     8658.89
           878 |     8703.43
           857 |     8805.36
           913 |     8900.47
           761 |     9161.28
           670 |    10302.62
           974 |    10889.12
           777 |    11276.16
           868 |    12728.37
           737 |    12758.05
           869 |    13047.32
           735 |    13074.13
           934 |    13295.70
           835 |    13696.23
           685 |    13812.16
           931 |    14059.39
           700 |    14111.53
           981 |    14244.11
           848 |    14562.47
           784 |    14637.66
           995 |    14995.64
           703 |    15333.42
           828 |    15813.15
           837 |    15843.22
           822 |    15853.43
           897 |    15856.92
           750 |    16450.63
           744 |    16521.33
           963 |    16972.06
           838 |    17045.27
           889 |    17320.57
           678 |    17906.57
           814 |    18074.73
           690 |    18610.29
           667 |    18665.91
           899 |    18674.45
           825 |    19048.38
           896 |    19763.91
           951 |    19794.92
           898 |    20115.60
           873 |    20278.63
           738 |    20349.18
           788 |    20594.25
           779 |    20789.36
           482 |    21012.25
           439 |    21057.63
           986 |    21894.31
           708 |    21947.36
           719 |    22416.87
           804 |    22431.01
           530 |    22927.53
           839 |    23035.52
           699 |    23973.74
           549 |    23974.93
           932 |    24193.71
           937 |    24831.92
           673 |    25083.76
           544 |    25348.46
           339 |    25362.29
           697 |    25434.20
           879 |    25440.64
           689 |    25446.61
           860 |    25752.04
           821 |    25874.12
           881 |    26159.58
           760 |    26474.27
           537 |    26491.21
           970 |    27106.37
           890 |    27247.29
           555 |    27976.04
           922 |    28154.95
           858 |    28422.25
           816 |    28781.51
           956 |    28927.64
           550 |    28966.10
           713 |    28979.38
           658 |    29046.14
           993 |    29349.55
           958 |    29451.93
           894 |    30027.51
           601 |    30196.85
          1000 |    30208.42
           752 |    30892.67
           836 |    31056.88
           641 |    31133.01
           991 |    31150.14
(100 rows)

Time: 1765,555 ms (00:01,766)
