Timing is on.
 i_manufact_id | sum_sales | avg_quarterly_sales  
---------------+-----------+----------------------
            55 |    222.80 | 401.9375000000000000
            55 |    635.15 | 401.9375000000000000
           391 |    118.22 | 461.8025000000000000
           391 |    355.02 | 461.8025000000000000
           391 |    636.85 | 461.8025000000000000
           391 |    737.12 | 461.8025000000000000
           421 |    188.49 | 482.4200000000000000
           421 |    243.69 | 482.4200000000000000
           421 |   1038.91 | 482.4200000000000000
           215 |    206.89 | 509.9925000000000000
           215 |    359.37 | 509.9925000000000000
           215 |    725.20 | 509.9925000000000000
           215 |    748.51 | 509.9925000000000000
           591 |    273.96 | 550.2350000000000000
           591 |    443.77 | 550.2350000000000000
           591 |    678.82 | 550.2350000000000000
           591 |    804.39 | 550.2350000000000000
           273 |    130.85 | 556.7250000000000000
           273 |    324.26 | 556.7250000000000000
           273 |    724.67 | 556.7250000000000000
           273 |   1047.12 | 556.7250000000000000
           880 |    186.90 | 557.8125000000000000
           880 |    348.71 | 557.8125000000000000
           880 |    477.68 | 557.8125000000000000
           880 |   1217.96 | 557.8125000000000000
           105 |    274.37 | 564.0400000000000000
           105 |    375.32 | 564.0400000000000000
           105 |   1014.26 | 564.0400000000000000
           743 |    227.17 | 565.0225000000000000
           743 |    475.17 | 565.0225000000000000
           743 |   1003.55 | 565.0225000000000000
           501 |    248.92 | 576.0150000000000000
           501 |    897.26 | 576.0150000000000000
           361 |    404.92 | 582.8825000000000000
           361 |    494.79 | 582.8825000000000000
           361 |    509.86 | 582.8825000000000000
           361 |    921.96 | 582.8825000000000000
           333 |    321.67 | 583.3350000000000000
           333 |    472.23 | 583.3350000000000000
           333 |    920.38 | 583.3350000000000000
           117 |    432.37 | 584.9025000000000000
           117 |    478.95 | 584.9025000000000000
           117 |    824.89 | 584.9025000000000000
           230 |    365.72 | 589.3075000000000000
           230 |    457.65 | 589.3075000000000000
           230 |    951.93 | 589.3075000000000000
           619 |    263.88 | 597.2525000000000000
           619 |    394.09 | 597.2525000000000000
           619 |    751.69 | 597.2525000000000000
           619 |    979.35 | 597.2525000000000000
           276 |    178.54 | 597.8225000000000000
           276 |    496.20 | 597.8225000000000000
           276 |    758.99 | 597.8225000000000000
           276 |    957.56 | 597.8225000000000000
           297 |    343.99 | 604.3975000000000000
           297 |    345.91 | 604.3975000000000000
           297 |    740.32 | 604.3975000000000000
           297 |    987.37 | 604.3975000000000000
           860 |    217.73 | 610.7825000000000000
           860 |    480.80 | 610.7825000000000000
           860 |   1149.31 | 610.7825000000000000
           142 |    177.32 | 611.5800000000000000
           142 |   1099.08 | 611.5800000000000000
           328 |    209.83 | 617.9500000000000000
           328 |    229.72 | 617.9500000000000000
           328 |    998.06 | 617.9500000000000000
           328 |   1034.19 | 617.9500000000000000
           180 |    246.89 | 618.7800000000000000
           180 |    437.65 | 618.7800000000000000
           180 |    849.38 | 618.7800000000000000
           180 |    941.20 | 618.7800000000000000
           145 |    201.42 | 625.2950000000000000
           145 |    360.85 | 625.2950000000000000
           145 |    409.79 | 625.2950000000000000
           145 |   1529.12 | 625.2950000000000000
           953 |    392.64 | 627.6000000000000000
           953 |    471.76 | 627.6000000000000000
           953 |   1071.26 | 627.6000000000000000
           509 |     85.13 | 629.8100000000000000
           509 |    452.18 | 629.8100000000000000
           509 |    825.58 | 629.8100000000000000
           509 |   1156.35 | 629.8100000000000000
           311 |    335.86 | 630.1950000000000000
           311 |    494.63 | 630.1950000000000000
           311 |    767.12 | 630.1950000000000000
           311 |    923.17 | 630.1950000000000000
           496 |    299.62 | 632.5325000000000000
           496 |    306.16 | 632.5325000000000000
           496 |    783.67 | 632.5325000000000000
           496 |   1140.68 | 632.5325000000000000
           776 |    407.74 | 633.4925000000000000
           776 |    476.63 | 633.4925000000000000
           776 |    524.35 | 633.4925000000000000
           776 |   1125.25 | 633.4925000000000000
           646 |    125.32 | 641.9325000000000000
           646 |    838.19 | 641.9325000000000000
           646 |    932.77 | 641.9325000000000000
           644 |    240.08 | 643.1100000000000000
           644 |    512.48 | 643.1100000000000000
           644 |   1168.43 | 643.1100000000000000
(100 rows)

Time: 1717,267 ms (00:01,717)
