Timing is on.
 brand_id |                       brand                        | i_manufact_id |                     i_manufact                     | ext_price 
----------+----------------------------------------------------+---------------+----------------------------------------------------+-----------
  3002001 | importoexporti #1                                  |           313 | prioughtpri                                        |  62162.79
 10012017 | importoamalgamalg #17                              |           202 | ablebarable                                        |  60664.88
  5002001 | importoscholar #1                                  |           263 | pricallyable                                       |  56335.56
  4004001 | edu packedu pack #1                                |            40 | barese                                             |  55460.99
  4004001 | edu packedu pack #1                                |           110 | baroughtought                                      |  54973.80
  2004001 | edu packimporto #1                                 |           147 | ationeseought                                      |  52162.77
  1003002 | exportiamalg #2                                    |           293 | prin stable                                        |  50318.03
  7008009 | namelessbrand #9                                   |           429 | n stableese                                        |  48396.20
 10005016 | scholarunivamalg #16                               |           746 | callyeseation                                      |  48028.16
  8013006 | exportimaxi #6                                     |           272 | ableationable                                      |  47869.67
  6008005 | namelesscorp #5                                    |           285 | antieingable                                       |  47442.45
  6001001 | amalgcorp #1                                       |           996 | callyn stn st                                      |  46019.42
  7015002 | scholarnameless #2                                 |           308 | eingbarpri                                         |  45948.20
  6007007 | brandcorp #7                                       |           416 | callyoughtese                                      |  42390.11
  6001003 | amalgcorp #3                                       |           139 | n stpriought                                       |  42355.40
  2004001 | edu packimporto #1                                 |            68 | eingcally                                          |  42088.72
  6003004 | exporticorp #4                                     |           543 | prieseanti                                         |  41274.46
  8009007 | maxinameless #7                                    |           123 | priableought                                       |  41081.10
  5004002 | edu packscholar #2                                 |           687 | ationeingcally                                     |  40972.59
  4004001 | edu packedu pack #1                                |           968 | eingcallyn st                                      |  40927.26
  9010002 | univunivamalg #2                                   |           242 | ableeseable                                        |  40773.66
  6015007 | scholarbrand #7                                    |           141 | oughteseought                                      |  40025.63
  7006007 | corpbrand #7                                       |           470 | barationese                                        |  39883.99
  1001002 | amalgamalg #2                                      |           334 | esepripri                                          |  39489.72
  4002001 | importoedu pack #1                                 |            58 | einganti                                           |  39416.63
  9014009 | edu packunivamalg #9                               |            37 | ationpri                                           |  38760.53
  1001002 | amalgamalg #2                                      |           239 | n stpriable                                        |  38332.92
  4002002 | importoedu pack #2                                 |           154 | eseantiought                                       |  38060.27
  3004002 | edu packexporti #2                                 |           124 | eseableought                                       |  38045.89
  6014003 | edu packbrand #3                                   |           587 | ationeinganti                                      |  37760.27
  1004001 | edu packamalg #1                                   |           142 | ableeseought                                       |  37660.89
  7002001 | importobrand #1                                    |           300 | barbarpri                                          |  37586.11
  6002007 | importocorp #7                                     |           985 | antieingn st                                       |  37302.30
  3002001 | importoexporti #1                                  |            22 | ableable                                           |  36828.29
  7012008 | importonameless #8                                 |           201 | oughtbarable                                       |  36481.13
  9008003 | namelessmaxi #3                                    |            64 | esecally                                           |  36082.50
  6010007 | univbrand #7                                       |           651 | oughtantically                                     |  35851.71
  8002005 | importonameless #5                                 |           247 | ationeseable                                       |  35683.72
  8011005 | amalgmaxi #5                                       |               | eseableable                                        |  35082.62
 10011005 | amalgamalgamalg #5                                 |           151 | oughtantiought                                     |  34909.96
  1001001 | amalgamalg #1                                      |           586 | callyeinganti                                      |  34904.37
  7002001 | importobrand #1                                    |           273 | priationable                                       |  34784.09
  5002001 | importoscholar #1                                  |           644 | eseesecally                                        |  34397.33
  9012002 | importounivamalg #2                                |           446 | callyeseese                                        |  34097.24
  7014009 | edu packnameless #9                                |            26 | callyable                                          |  33439.59
  5003001 | exportischolar #1                                  |           217 | ationoughtable                                     |  33027.27
  1004001 | edu packamalg #1                                   |            93 | prin st                                            |  32856.29
  9016011 | corpunivamalg #11                                  |           445 | antieseese                                         |  32255.57
  2004002 |                                                    |               | callyn stable                                      |  32215.68
  2002001 | importoimporto #1                                  |           132 | ablepriought                                       |  31965.84
  5003001 | exportischolar #1                                  |           274 | eseationable                                       |  31916.45
  5003001 | exportischolar #1                                  |           627 | ationablecally                                     |  31749.50
  8013001 | exportimaxi #1                                     |           361 | oughtcallypri                                      |  31307.16
  4001001 | amalgedu pack #1                                   |           300 | barbarpri                                          |  31271.36
  3002001 | importoexporti #1                                  |           317 | ationoughtpri                                      |  30971.07
  3002001 | importoexporti #1                                  |           243 | prieseable                                         |  30944.92
  9005005 | scholarmaxi #5                                     |           343 | priesepri                                          |  30916.85
  8009008 | maxinameless #8                                    |           239 | n stpriable                                        |  30614.05
  2003001 | exportiimporto #1                                  |           331 | oughtpripri                                        |  30302.36
  5002002 | importoscholar #2                                  |           403 | pribarese                                          |  30214.65
  7003009 | exportibrand #9                                    |           958 | eingantin st                                       |  29713.27
 10005007 | scholarunivamalg #7                                |           318 | eingoughtpri                                       |  29654.24
