Timing is on.
   ca_zip   |   sum   
------------+---------
 30059      | 1372.14
 30069      | 1755.50
 30150      | 1175.36
 30162      | 1599.27
 30169      | 2419.99
 30191      | 1295.98
 30344      |  699.68
 30369      |  419.80
 30399      | 1017.11
 30411      | 2898.19
 30492      |  359.96
 30499      | 1256.25
 30525      |  562.25
 30534      |  624.18
 30540      |  393.88
 30587      | 2558.51
 30725      |  105.93
 30766      |  136.61
 30854      |  761.55
 31087      | 2114.12
 31206      |  445.77
 31229      |  739.85
 31289      |  996.06
 31387      | 3864.44
 31521      | 3375.29
 31620      |  826.23
 31669      |  796.14
 31675      | 1430.57
 31711      |  667.12
 31749      |  453.17
 31757      | 2829.10
 31852      |  182.36
 31904      |  999.51
 31933      |  403.84
 31952      | 1991.69
 32033      |  376.70
 32219      |  695.14
 32276      |  250.12
 32293      | 1742.61
 32366      |  588.79
 32455      |  668.43
 32477      | 1688.32
 32808      | 1516.93
 32812      | 1071.34
 32898      | 1307.61
 33003      | 1531.36
 33027      | 2109.06
 33075      |  407.11
 33342      |  399.24
 33394      |  190.06
 33425      |  333.03
 33451      | 1472.86
 33481      |  742.26
 33511      |  544.53
 33592      |  593.13
 33604      | 1851.00
 33683      | 1221.78
 33868      |  806.76
 33951      |  934.57
 34027      | 1147.75
 34062      |  152.56
 34098      | 1415.28
 34107      | 1079.89
 34136      | 1654.14
 34244      |  734.56
 34289      | 2392.17
 34338      | 1382.18
 34369      |  587.35
 34464      |  416.40
 34466      | 1421.50
 34536      | 1387.47
 34593      | 3668.52
 34694      |  349.61
 34854      |  271.96
 34975      |  568.70
 35038      | 1365.02
 35079      |  379.26
 35115      |  554.95
 35119      |  346.06
 35124      |  775.58
 35413      |  484.69
 35495      |  380.46
 35521      |  245.33
 35709      | 2382.62
 35752      |  994.58
 35804      |  398.02
 35817      |  183.84
 35965      |  465.92
 36000      |  102.17
 36060      |  953.40
 36074      |  584.18
 36098      | 3310.64
 36192      |  214.82
 36245      |  505.52
 36534      | 2813.12
 36549      |  552.95
 36557      | 3011.80
 36614      |  710.13
 36668      |  923.80
 36697      |  414.10
(100 rows)

Time: 1343,427 ms (00:01,343)
