Timing is on.
        substr        |            sm_type             |      cc_name      | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days 
----------------------+--------------------------------+-------------------+---------+------------+------------+-------------+-----------
 Bad cards must make. | EXPRESS                        | California        |    1484 |       1573 |       1566 |           0 |         0
 Bad cards must make. | EXPRESS                        | Mid Atlantic      |    1498 |       1563 |       1534 |           0 |         0
 Bad cards must make. | EXPRESS                        | North Midwest     |    1479 |       1508 |       1500 |           0 |         0
 Bad cards must make. | EXPRESS                        | NY Metro          |    1468 |       1583 |       1500 |           0 |         0
 Bad cards must make. | EXPRESS                        | Pacific Northwest |    1462 |       1447 |       1463 |           0 |         0
 Bad cards must make. | LIBRARY                        | California        |    1144 |       1064 |       1154 |           0 |         0
 Bad cards must make. | LIBRARY                        | Mid Atlantic      |    1133 |       1100 |       1165 |           0 |         0
 Bad cards must make. | LIBRARY                        | North Midwest     |    1095 |       1128 |       1112 |           0 |         0
 Bad cards must make. | LIBRARY                        | NY Metro          |    1115 |       1122 |       1135 |           0 |         0
 Bad cards must make. | LIBRARY                        | Pacific Northwest |    1099 |       1113 |       1069 |           0 |         0
 Bad cards must make. | NEXT DAY                       | California        |    1485 |       1480 |       1555 |           0 |         0
 Bad cards must make. | NEXT DAY                       | Mid Atlantic      |    1474 |       1547 |       1528 |           0 |         0
 Bad cards must make. | NEXT DAY                       | North Midwest     |    1478 |       1534 |       1537 |           0 |         0
 Bad cards must make. | NEXT DAY                       | NY Metro          |    1385 |       1517 |       1506 |           0 |         0
 Bad cards must make. | NEXT DAY                       | Pacific Northwest |    1501 |       1489 |       1544 |           0 |         0
 Bad cards must make. | OVERNIGHT                      | California        |    1107 |       1160 |       1152 |           0 |         0
 Bad cards must make. | OVERNIGHT                      | Mid Atlantic      |    1087 |       1100 |       1129 |           0 |         0
 Bad cards must make. | OVERNIGHT                      | North Midwest     |    1105 |       1167 |       1121 |           0 |         0
 Bad cards must make. | OVERNIGHT                      | NY Metro          |    1128 |       1119 |       1103 |           0 |         0
 Bad cards must make. | OVERNIGHT                      | Pacific Northwest |    1093 |       1124 |       1097 |           0 |         0
 Bad cards must make. | REGULAR                        | California        |    1086 |       1075 |       1181 |           0 |         0
 Bad cards must make. | REGULAR                        | Mid Atlantic      |    1135 |       1170 |       1118 |           0 |         0
 Bad cards must make. | REGULAR                        | North Midwest     |    1127 |       1155 |       1127 |           0 |         0
 Bad cards must make. | REGULAR                        | NY Metro          |    1076 |       1183 |       1147 |           0 |         0
 Bad cards must make. | REGULAR                        | Pacific Northwest |    1100 |       1104 |       1074 |           0 |         0
 Bad cards must make. | TWO DAY                        | California        |    1118 |       1223 |       1103 |           0 |         0
 Bad cards must make. | TWO DAY                        | Mid Atlantic      |    1103 |       1159 |       1132 |           0 |         0
 Bad cards must make. | TWO DAY                        | North Midwest     |    1133 |       1103 |       1162 |           0 |         0
 Bad cards must make. | TWO DAY                        | NY Metro          |    1091 |       1144 |       1141 |           0 |         0
 Bad cards must make. | TWO DAY                        | Pacific Northwest |    1117 |       1141 |       1093 |           0 |         0
 Conventional childr  | EXPRESS                        | California        |    1448 |       1592 |       1584 |           0 |         0
 Conventional childr  | EXPRESS                        | Mid Atlantic      |    1503 |       1610 |       1489 |           0 |         0
 Conventional childr  | EXPRESS                        | North Midwest     |    1507 |       1565 |       1560 |           0 |         0
