Timing is on.
                     i_category                     |                      i_class                       |                      i_brand                       | i_product_name | d_year | d_qoy | d_moy | s_store_id |   sumsales   | rk  
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+--------------+-----
 Books                                              | arts                                               | amalgmaxi #12                                      |                |        |       |       |            |   3770151.68 |  18
 Books                                              | arts                                               | amalgmaxi #2                                       |                |        |       |       |            |   2113453.45 |  51
 Books                                              | arts                                               | amalgmaxi #3                                       |                |        |       |       |            |   1470920.54 |  83
 Books                                              | arts                                               | amalgmaxi #8                                       |                |        |       |       |            |   1436921.05 |  89
 Books                                              | arts                                               | amalgmaxi #9                                       |                |        |       |       |            |   1459619.23 |  85
 Books                                              | arts                                               |                                                    |                |        |       |       |            |  12166930.93 |  11
 Books                                              | business                                           | importomaxi #12                                    |                |        |       |       |            |   1759171.74 |  69
 Books                                              | business                                           | importomaxi #2                                     |                |        |       |       |            |   1933584.98 |  61
 Books                                              | business                                           | importomaxi #6                                     |                |        |       |       |            |   1458993.21 |  86
 Books                                              | business                                           | importomaxi #8                                     |                |        |       |       |            |   1989096.33 |  59
 Books                                              | business                                           | importomaxi #9                                     |                |        |       |       |            |   1389907.69 |  96
 Books                                              | business                                           |                                                    |                |        |       |       |            |  10284773.58 |  17
 Books                                              | computers                                          | exportimaxi #12                                    |                |        |       |       |            |   2301169.53 |  43
 Books                                              | computers                                          | exportimaxi #2                                     |                |        |       |       |            |   2702526.51 |  29
 Books                                              | computers                                          | exportimaxi #3                                     |                |        |       |       |            |   1362476.92 |  97
 Books                                              | computers                                          | exportimaxi #6                                     |                |        |       |       |            |   1725554.75 |  73
 Books                                              | computers                                          | exportimaxi #8                                     |                |        |       |       |            |   2467711.64 |  37
 Books                                              | computers                                          | exportimaxi #9                                     |                |        |       |       |            |   1665636.02 |  76
 Books                                              | computers                                          |                                                    |                |        |       |       |            |  13577345.40 |   4
 Books                                              | cooking                                            | amalgunivamalg #12                                 |                |        |       |       |            |   2083345.55 |  53
 Books                                              | cooking                                            | amalgunivamalg #3                                  |                |        |       |       |            |   1436710.62 |  90
 Books                                              | cooking                                            | amalgunivamalg #6                                  |                |        |       |       |            |   2049144.28 |  55
 Books                                              | cooking                                            | amalgunivamalg #8                                  |                |        |       |       |            |   2171835.11 |  48
 Books                                              | cooking                                            | amalgunivamalg #9                                  |                |        |       |       |            |   1435679.71 |  91
 Books                                              | cooking                                            |                                                    |                |        |       |       |            |  11770117.69 |  13
 Books                                              | entertainments                                     | edu packmaxi #12                                   |                |        |       |       |            |   2105352.05 |  52
 Books                                              | entertainments                                     | edu packmaxi #2                                    |                |        |       |       |            |   2517050.07 |  32
 Books                                              | entertainments                                     | edu packmaxi #3                                    |                |        |       |       |            |   1705206.94 |  75
 Books                                              | entertainments                                     | edu packmaxi #6                                    |                |        |       |       |            |   1410075.34 |  93
 Books                                              | entertainments                                     | edu packmaxi #8                                    |                |        |       |       |            |   2778683.55 |  27
 Books                                              | entertainments                                     | edu packmaxi #9                                    |                |        |       |       |            |   1221649.87 | 100
 Books                                              | entertainments                                     |                                                    |                |        |       |       |            |  13305480.11 |   5
 Books                                              | fiction                                            | scholarunivamalg #12                               |                |        |       |       |            |   2185613.94 |  47
 Books                                              | fiction                                            | scholarunivamalg #2                                |                |        |       |       |            |   2909648.57 |  22
 Books                                              | fiction                                            | scholarunivamalg #3                                |                |        |       |       |            |   2032119.34 |  57
 Books                                              | fiction                                            | scholarunivamalg #6                                |                |        |       |       |            |   2522839.92 |  31
 Books                                              | fiction                                            | scholarunivamalg #8                                |                |        |       |       |            |   2805988.00 |  26
 Books                                              | fiction                                            | scholarunivamalg #9                                |                |        |       |       |            |   1609309.06 |  78
 Books                                              | fiction                                            |                                                    |                |        |       |       |            |  14886601.83 |   3
 Books                                              | history                                            | scholarmaxi #12                                    |                |        |       |       |            |   2299683.66 |  44
 Books                                              | history                                            | scholarmaxi #2                                     |                |        |       |       |            |   3323851.79 |  20
 Books                                              | history                                            | scholarmaxi #3                                     |                |        |       |       |            |   1866968.92 |  65
 Books                                              | history                                            | scholarmaxi #6                                     |                |        |       |       |            |   1857005.73 |  66
 Books                                              | history                                            | scholarmaxi #8                                     |                |        |       |       |            |   2409985.23 |  40
 Books                                              | history                                            | scholarmaxi #9                                     |                |        |       |       |            |   2463066.25 |  39
 Books                                              | history                                            |                                                    |                |        |       |       |            |  15173334.45 |   2
 Books                                              | home repair                                        | importounivamalg #12                               |                |        |       |       |            |   1483462.31 |  82
 Books                                              | home repair                                        | importounivamalg #2                                |                |        |       |       |            |   2776570.39 |  28
 Books                                              | home repair                                        | importounivamalg #3                                |                |        |       |       |            |   1748502.96 |  70
 Books                                              | home repair                                        | importounivamalg #6                                |                |        |       |       |            |   1437844.28 |  88
 Books                                              | home repair                                        | importounivamalg #8                                |                |        |       |       |            |   2901465.14 |  23
 Books                                              | home repair                                        | importounivamalg #9                                |                |        |       |       |            |   1281122.82 |  98
 Books                                              | home repair                                        |                                                    |                |        |       |       |            |  12941020.38 |   8
 Books                                              | mystery                                            | corpunivamalg #12                                  |                |        |       |       |            |   2164528.62 |  49
 Books                                              | mystery                                            | corpunivamalg #2                                   |                |        |       |       |            |   1787251.35 |  67
 Books                                              | mystery                                            | corpunivamalg #6                                   |                |        |       |       |            |   1868088.25 |  64
 Books                                              | mystery                                            | corpunivamalg #8                                   |                |        |       |       |            |   2504715.49 |  34
 Books                                              | mystery                                            |                                                    |                |        |       |       |            |  11555744.72 |  15
 Books                                              | parenting                                          | corpmaxi #12                                       |                |        |       |       |            |   2050310.88 |  54
 Books                                              | parenting                                          | corpmaxi #2                                        |                |        |       |       |            |   1775815.91 |  68
 Books                                              | parenting                                          | corpmaxi #3                                        |                |        |       |       |            |   1398941.91 |  94
 Books                                              | parenting                                          | corpmaxi #6                                        |                |        |       |       |            |   3337490.18 |  19
 Books                                              | parenting                                          | corpmaxi #9                                        |                |        |       |       |            |   1461772.19 |  84
 Books                                              | parenting                                          |                                                    |                |        |       |       |            |  12536464.09 |  10
 Books                                              | reference                                          | brandmaxi #12                                      |                |        |       |       |            |   2036298.85 |  56
 Books                                              | reference                                          | brandmaxi #2                                       |                |        |       |       |            |   1548855.43 |  80
 Books                                              | reference                                          | brandmaxi #3                                       |                |        |       |       |            |   1429379.53 |  92
 Books                                              | reference                                          | brandmaxi #6                                       |                |        |       |       |            |   2536378.94 |  30
 Books                                              | reference                                          | brandmaxi #8                                       |                |        |       |       |            |   2846860.01 |  24
 Books                                              | reference                                          |                                                    |                |        |       |       |            |  12772708.85 |   9
 Books                                              | romance                                            | namelessmaxi #12                                   |                |        |       |       |            |   2488336.85 |  35
 Books                                              | romance                                            | namelessmaxi #2                                    |                |        |       |       |            |   2485262.60 |  36
 Books                                              | romance                                            | namelessmaxi #3                                    |                |        |       |       |            |   1743508.30 |  71
 Books                                              | romance                                            | namelessmaxi #6                                    |                |        |       |       |            |   2822905.59 |  25
 Books                                              | romance                                            | namelessmaxi #8                                    |                |        |       |       |            |   1720584.58 |  74
 Books                                              | romance                                            |                                                    |                |        |       |       |            |  13190191.81 |   6
 Books                                              | science                                            | maximaxi #2                                        |                |        |       |       |            |   2120007.02 |  50
 Books                                              | science                                            | maximaxi #3                                        |                |        |       |       |            |   1455673.62 |  87
 Books                                              | science                                            | maximaxi #6                                        |                |        |       |       |            |   2466100.83 |  38
 Books                                              | science                                            | maximaxi #8                                        |                |        |       |       |            |   2198857.87 |  46
 Books                                              | science                                            | maximaxi #9                                        |                |        |       |       |            |   1556280.53 |  79
 Books                                              | science                                            |                                                    |                |        |       |       |            |  11704143.93 |  14
 Books                                              | self-help                                          | exportiunivamalg #12                               |                |        |       |       |            |   1738143.76 |  72
 Books                                              | self-help                                          | exportiunivamalg #2                                |                |        |       |       |            |   1995742.29 |  58
 Books                                              | self-help                                          | exportiunivamalg #3                                |                |        |       |       |            |   1394198.31 |  95
 Books                                              | self-help                                          | exportiunivamalg #6                                |                |        |       |       |            |   3053680.49 |  21
