Timing is on.
 w_warehouse_sk | i_item_sk | d_moy |         mean         |          cov           | w_warehouse_sk | i_item_sk | d_moy |         mean         |          cov           
----------------+-----------+-------+----------------------+------------------------+----------------+-----------+-------+----------------------+------------------------
              1 |       148 |     1 | 301.4000000000000000 |     1.2212631457643198 |              1 |       148 |     2 | 370.0000000000000000 |     1.3747195742994324
              1 |       838 |     1 | 296.5000000000000000 |     1.3889783660153052 |              1 |       838 |     2 | 328.0000000000000000 |     1.4000532021561677
              1 |      1885 |     1 | 252.8000000000000000 |     1.1255794353816653 |              1 |      1885 |     2 | 346.0000000000000000 |     1.0966789569141965
              1 |      2362 |     1 | 336.8000000000000000 |     1.1153395969822862 |              1 |      2362 |     2 | 519.5000000000000000 |     1.1882660634761424
              1 |      3037 |     1 | 431.0000000000000000 |     1.0279430431406798 |              1 |      3037 |     2 | 300.7500000000000000 |     1.0488367711479701
              1 |      3188 |     1 | 260.8000000000000000 |     1.4062193535705713 |              1 |      3188 |     2 | 139.0000000000000000 |     1.1297942145073165
              1 |      3454 |     1 | 318.8000000000000000 |     1.0151400148312108 |              1 |      3454 |     2 | 403.2500000000000000 |     1.0050699077349833
              1 |      3974 |     1 | 268.4000000000000000 |     1.1964188724258085 |              1 |      3974 |     2 |  87.2500000000000000 |     1.2486482265358625
              1 |      5488 |     1 | 421.6000000000000000 |     1.0153916656410009 |              1 |      5488 |     2 | 296.7500000000000000 |     1.0051706826748711
              1 |      5576 |     1 | 309.8000000000000000 |     1.2592995598402873 |              1 |      5576 |     2 | 429.0000000000000000 |     1.1239670087366480
              1 |      5689 |     1 | 286.6000000000000000 |     1.0069441516873552 |              1 |      5689 |     2 | 349.3333333333333333 |     1.2043477938173416
              1 |      5962 |     1 | 340.2500000000000000 |     1.0167078458182013 |              1 |      5962 |     2 | 305.2500000000000000 |     1.2262478195641900
              1 |      6169 |     1 | 320.0000000000000000 |     1.1690737352440594 |              1 |      6169 |     2 | 371.0000000000000000 |     1.1498476639002695
              1 |      6514 |     1 | 339.2000000000000000 |     1.0797892744587323 |              1 |      6514 |     2 | 316.0000000000000000 |     1.1456919998971899
              1 |      7190 |     1 | 367.6000000000000000 |     1.0281397599892029 |              1 |      7190 |     2 | 298.0000000000000000 |     1.5333599998725671
              1 |      8050 |     1 | 341.6000000000000000 |     1.0358047184172365 |              1 |      8050 |     2 | 260.3333333333333333 |     1.0527023921370346
              1 |      8740 |     1 | 231.6000000000000000 |     1.4266769048357427 |              1 |      8740 |     2 | 243.7500000000000000 |     1.1671698736329190
              1 |      8956 |     1 | 347.2500000000000000 |     1.2152431595357725 |              1 |      8956 |     2 | 216.2500000000000000 |     1.1630486820634081
              1 |      9001 |     1 | 310.7500000000000000 |     1.1212617322324377 |              1 |      9001 |     2 | 358.0000000000000000 |     1.0310327926798268
              1 |      9464 |     1 | 222.8000000000000000 |     1.3235567930299686 |              1 |      9464 |     2 | 342.2500000000000000 |     1.1747141377066647
              1 |      9830 |     1 | 286.8000000000000000 |     1.2691038455708787 |              1 |      9830 |     2 | 381.2500000000000000 | 1.00141403205815606557
              1 |      9856 |     1 | 367.0000000000000000 |     1.1522229372239946 |              1 |      9856 |     2 | 291.7500000000000000 |     1.0565155400566718
              1 |     11080 |     1 | 256.2000000000000000 | 1.00106024925303278689 |              1 |     11080 |     2 | 348.7500000000000000 |     1.2505307343969978
              1 |     11707 |     1 | 222.2000000000000000 |     1.1370714570203420 |              1 |     11707 |     2 | 328.7500000000000000 |     1.0927602303739833
              1 |     12292 |     1 | 434.6000000000000000 |     1.0092650864706167 |              1 |     12292 |     2 | 371.0000000000000000 |     1.1895346257019111
              1 |     12530 |     1 | 360.2500000000000000 |     1.0206283446075087 |              1 |     12530 |     2 | 323.7500000000000000 |     1.2229615808761606
