Timing is on.
        substr        |            sm_type             | web_name | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days 
----------------------+--------------------------------+----------+---------+------------+------------+-------------+-----------
 Bad cards must make. | EXPRESS                        | site_0   |     566 |        508 |        542 |         560 |         0
 Bad cards must make. | EXPRESS                        | site_1   |     547 |        571 |        547 |         544 |         0
 Bad cards must make. | EXPRESS                        | site_2   |     604 |        591 |        563 |         627 |         0
 Bad cards must make. | EXPRESS                        | site_3   |     626 |        578 |        589 |         583 |         0
 Bad cards must make. | EXPRESS                        | site_4   |     572 |        636 |        592 |         629 |         0
 Bad cards must make. | LIBRARY                        | site_0   |     510 |        521 |        476 |         465 |         0
 Bad cards must make. | LIBRARY                        | site_1   |     423 |        438 |        412 |         416 |         0
 Bad cards must make. | LIBRARY                        | site_2   |     365 |        344 |        338 |         339 |         0
 Bad cards must make. | LIBRARY                        | site_3   |     444 |        406 |        408 |         428 |         0
 Bad cards must make. | LIBRARY                        | site_4   |     486 |        467 |        510 |         473 |         0
 Bad cards must make. | NEXT DAY                       | site_0   |     531 |        528 |        540 |         516 |         0
 Bad cards must make. | NEXT DAY                       | site_1   |     606 |        637 |        535 |         606 |         0
 Bad cards must make. | NEXT DAY                       | site_2   |     598 |        627 |        600 |         589 |         0
 Bad cards must make. | NEXT DAY                       | site_3   |     575 |        674 |        593 |         594 |         0
 Bad cards must make. | NEXT DAY                       | site_4   |     562 |        575 |        544 |         598 |         0
 Bad cards must make. | OVERNIGHT                      | site_0   |     423 |        422 |        450 |         437 |         0
 Bad cards must make. | OVERNIGHT                      | site_1   |     492 |        461 |        490 |         498 |         0
 Bad cards must make. | OVERNIGHT                      | site_2   |     511 |        482 |        469 |         467 |         0
 Bad cards must make. | OVERNIGHT                      | site_3   |     415 |        405 |        393 |         405 |         0
 Bad cards must make. | OVERNIGHT                      | site_4   |     340 |        350 |        384 |         354 |         0
 Bad cards must make. | REGULAR                        | site_0   |     440 |        451 |        437 |         474 |         0
 Bad cards must make. | REGULAR                        | site_1   |     376 |        362 |        384 |         381 |         0
 Bad cards must make. | REGULAR                        | site_2   |     423 |        431 |        404 |         436 |         0
 Bad cards must make. | REGULAR                        | site_3   |     504 |        485 |        440 |         492 |         0
 Bad cards must make. | REGULAR                        | site_4   |     471 |        477 |        500 |         506 |         0
 Bad cards must make. | TWO DAY                        | site_0   |     497 |        481 |        488 |         469 |         0
 Bad cards must make. | TWO DAY                        | site_1   |     486 |        485 |        456 |         488 |         0
 Bad cards must make. | TWO DAY                        | site_2   |     428 |        410 |        419 |         433 |         0
 Bad cards must make. | TWO DAY                        | site_3   |     393 |        317 |        392 |         363 |         0
 Bad cards must make. | TWO DAY                        | site_4   |     426 |        419 |        397 |         471 |         0
 Conventional childr  | EXPRESS                        | site_0   |     608 |        605 |        628 |         603 |         0
 Conventional childr  | EXPRESS                        | site_1   |     537 |        568 |        513 |         536 |         0
 Conventional childr  | EXPRESS                        | site_2   |     509 |        571 |        518 |         513 |         0
 Conventional childr  | EXPRESS                        | site_3   |     597 |        562 |        597 |         600 |         0
 Conventional childr  | EXPRESS                        | site_4   |     577 |        636 |        584 |         602 |         0
 Conventional childr  | LIBRARY                        | site_0   |     490 |        461 |        487 |         447 |         0
 Conventional childr  | LIBRARY                        | site_1   |     451 |        486 |        456 |         477 |         0
 Conventional childr  | LIBRARY                        | site_2   |     416 |        420 |        436 |         436 |         0
 Conventional childr  | LIBRARY                        | site_3   |     352 |        346 |        342 |         406 |         0
 Conventional childr  | LIBRARY                        | site_4   |     424 |        424 |        397 |         430 |         0
 Conventional childr  | NEXT DAY                       | site_0   |     536 |        477 |        578 |         538 |         0
 Conventional childr  | NEXT DAY                       | site_1   |     578 |        551 |        513 |         502 |         0
 Conventional childr  | NEXT DAY                       | site_2   |     617 |        602 |        636 |         597 |         0
 Conventional childr  | NEXT DAY                       | site_3   |     634 |        637 |        560 |         576 |         0
 Conventional childr  | NEXT DAY                       | site_4   |     615 |        610 |        640 |         583 |         0
