Timing is on.
 i_manufact_id | total_sales 
---------------+-------------
           848 |     2476.59
           875 |     9371.62
           989 |     9464.58
           938 |    10093.14
           876 |    11921.48
           889 |    12011.37
           677 |    12099.78
           804 |    12172.32
           815 |    12894.17
           752 |    13415.19
           877 |    14115.08
           997 |    14987.30
           976 |    15200.77
           918 |    16013.01
           922 |    17959.37
           934 |    18612.50
           902 |    18985.06
           959 |    19593.70
           870 |    20737.28
           806 |    21430.18
           950 |    21752.06
           688 |    22369.63
           759 |    23117.33
           734 |    24039.17
           800 |    24234.08
           925 |    24594.55
           687 |    24917.51
           712 |    25195.58
           674 |    25588.23
           930 |    25679.70
           863 |    25908.32
           697 |    26302.80
           961 |    26933.08
           675 |    27282.42
           683 |    27495.26
           826 |    28859.18
           999 |    29239.37
           873 |    29540.61
           983 |    29806.70
           830 |    30436.04
           864 |    30627.37
           778 |    31248.97
           773 |    31258.50
           857 |    32069.25
           974 |    32203.04
           966 |    32760.54
           786 |    32849.14
           874 |    32998.02
           927 |    33256.36
           710 |    33825.99
           783 |    34063.59
           743 |    34634.81
           761 |    34762.72
           880 |    35301.72
           847 |    35365.88
           701 |    35435.42
           685 |    35665.67
           839 |    36484.50
           897 |    36525.53
           878 |    36938.99
           678 |    37039.22
           790 |    37091.13
           865 |    37320.79
           885 |    37355.00
           698 |    37905.92
           671 |    37932.11
           992 |    37965.67
           932 |    37977.96
           904 |    38131.37
           784 |    38220.45
           760 |    38461.91
           971 |    38601.06
           903 |    38643.18
           689 |    39553.38
           690 |    40717.77
           803 |    40812.95
           729 |    40923.84
           785 |    41024.59
           933 |    41156.03
           909 |    41298.36
           956 |    41447.38
           898 |    42947.47
           756 |    43068.20
           836 |    43340.67
           838 |    43437.10
           735 |    43688.33
           717 |    43735.39
           906 |    43951.12
           766 |    45252.87
           797 |    45271.67
           673 |    45532.66
           937 |    45628.14
           682 |    45960.21
           779 |    46578.16
           868 |    46955.99
           775 |    47080.59
           749 |    47843.17
           929 |    47959.08
           936 |    47989.35
           780 |    48788.41
(100 rows)

Time: 9916,060 ms (00:09,916)
