Timing is on.
 item_sk |   d_date   | web_sales | store_sales | web_cumulative | store_cumulative 
---------+------------+-----------+-------------+----------------+------------------
       1 | 2001-05-20 |           |       44.72 |          80.58 |            44.72
       1 | 2001-05-30 |    295.71 |             |         295.71 |           223.63
       1 | 2001-06-09 |           |      255.99 |         295.71 |           255.99
       1 | 2001-06-11 |    340.53 |             |         340.53 |           255.99
      11 | 2001-05-15 |           |       99.35 |         205.62 |            99.35
      11 | 2001-06-02 |           |      114.91 |         205.62 |           114.91
      11 | 2001-06-04 |           |      122.74 |         205.62 |           122.74
      11 | 2001-06-07 |           |      172.78 |         205.62 |           172.78
      11 | 2001-06-20 |           |      186.06 |         205.62 |           186.06
      13 | 2001-05-18 |     58.16 |             |          58.16 |            52.55
      17 | 2001-05-16 |     67.91 |             |          67.91 |            60.10
      18 | 2002-01-11 |    260.26 |             |         260.26 |            32.76
      18 | 2002-01-12 |           |       46.69 |         260.26 |            46.69
      18 | 2002-01-15 |    325.86 |             |         325.86 |            46.69
      18 | 2002-01-26 |           |      165.18 |         325.86 |           165.18
      18 | 2002-01-31 |           |      185.39 |         325.86 |           185.39
      18 | 2002-02-04 |           |      308.42 |         325.86 |           308.42
      18 | 2002-02-08 |           |      323.32 |         325.86 |           323.32
      19 | 2001-05-07 |           |        5.21 |          83.43 |             5.21
      19 | 2001-05-12 |           |        5.60 |          83.43 |             5.60
      19 | 2001-05-16 |           |       29.32 |          83.43 |            29.32
      19 | 2001-05-24 |           |       78.92 |          83.43 |            78.92
      19 | 2001-05-30 |           |       81.66 |          83.43 |            81.66
      19 | 2001-06-04 |    183.19 |             |         183.19 |            84.13
      19 | 2001-06-06 |    200.57 |             |         200.57 |            84.13
      19 | 2001-06-15 |           |      158.22 |         200.57 |           158.22
      33 | 2001-05-05 |           |       24.45 |         144.68 |            24.45
      33 | 2001-05-07 |    185.47 |             |         185.47 |            24.45
      33 | 2001-05-22 |           |      105.62 |         185.47 |           105.62
      37 | 2001-05-29 |     47.23 |             |          47.23 |            27.97
      37 | 2001-06-03 |    161.69 |             |         161.69 |            27.97
      37 | 2001-06-10 |           |       32.04 |         161.69 |            32.04
      37 | 2001-06-12 |    169.81 |             |         169.81 |            32.04
      37 | 2001-06-19 |           |       92.85 |         169.81 |            92.85
      37 | 2001-06-23 |           |      106.82 |         169.81 |           106.82
      37 | 2001-07-08 |           |      135.29 |         169.81 |           135.29
      37 | 2001-07-09 |           |      164.96 |         169.81 |           164.96
      42 | 2002-03-28 |    636.30 |             |         636.30 |           617.88
      42 | 2002-04-02 |    687.36 |             |         687.36 |           617.88
      51 | 2001-05-10 |           |       31.61 |          97.64 |            31.61
      51 | 2001-05-11 |    179.11 |             |         179.11 |            31.61
      51 | 2001-05-18 |           |       49.12 |         179.11 |            49.12
      51 | 2001-05-19 |    425.60 |       84.16 |         425.60 |            84.16
      51 | 2001-05-31 |           |      114.85 |         425.60 |           114.85
      51 | 2001-06-08 |           |      127.14 |         425.60 |           127.14
      51 | 2001-06-10 |           |      142.78 |         425.60 |           142.78
      51 | 2001-06-15 |           |      178.93 |         425.60 |           178.93
      51 | 2001-06-18 |           |      280.03 |         425.60 |           280.03
      51 | 2001-06-30 |           |      323.99 |         425.60 |           323.99
      51 | 2001-07-03 |           |      345.50 |         425.60 |           345.50
      51 | 2001-07-04 |    463.12 |             |         463.12 |           345.50
      51 | 2001-07-07 |           |      352.35 |         463.12 |           352.35
      51 | 2001-07-15 |           |      363.37 |         463.12 |           363.37
      51 | 2001-07-18 |           |      363.37 |         463.12 |           363.37
      51 | 2001-07-19 |           |      373.72 |         463.12 |           373.72
      51 | 2001-07-21 |           |      374.96 |         463.12 |           374.96
      51 | 2001-08-01 |           |      447.32 |         463.12 |           447.32
      51 | 2001-08-06 |           |      447.32 |         463.12 |           447.32
      51 | 2001-09-09 |    624.86 |             |         624.86 |           592.39
      51 | 2001-09-10 |    641.13 |             |         641.13 |           592.39
      53 | 2001-05-19 |     73.67 |             |          73.67 |             7.35
      53 | 2001-05-20 |           |       10.17 |          73.67 |            10.17
      53 | 2001-05-22 |           |       63.66 |          73.67 |            63.66
      53 | 2001-05-25 |     94.89 |             |          94.89 |            63.66
