Timing is on.
 s_store_name |                                                                                               i_item_desc                                                                                                | revenue | i_current_price | i_wholesale_cost |                      i_brand                       
--------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------
 able         | A                                                                                                                                                                                                        |    4.59 |            4.97 |             3.17 | amalgmaxi #1                                      
 able         | Able areas unload now for a elements. Twin respond                                                                                                                                                       |   12.89 |            3.29 |             1.34 | scholarcorp #6                                    
 able         | Able authorities care ago advisory windows. Results m                                                                                                                                                    |    2.35 |            3.78 |             2.23 | amalgamalg #2                                     
 able         | Able considerations may end even; financial, useful courts ought to dominate however. Daily, concerned interests should come clean, local services. More unlikely tea                                    |   10.42 |            7.03 |             3.16 | importoimporto #1                                 
 able         | Able considerations may end even; financial, useful courts ought to dominate however. Daily, concerned interests should come clean, local services. More unlikely tea                                    |    3.14 |            7.03 |             3.16 | importoimporto #1                                 
 able         | Able, early arms return estimates; already common animals can go also british victorian meals. Old offices may not go just main, early procedures. Foreign, useless attitudes organize most. Respon      |    6.02 |            7.94 |             4.08 | corpmaxi #7                                       
 able         | Able facilities clear thus good dete                                                                                                                                                                     |    9.98 |            3.82 |             1.41 | exportiexporti #2                                 
 able         | Able houses satisfy however young members. Interesting, other women suggest little characteristics. Military factors participate all classical difficulties. Steps may not increase increasingly wit     |    5.28 |            3.36 |             6.51 | brandunivamalg #5                                 
 able         | Able, local funds must work more expert, general computers; conditions might not acknowledge to a words.                                                                                                 |    2.99 |            4.23 |             1.75 | univunivamalg #1                                  
 able         | Able, main parties think really. Resources arrive only independent, old representations. Small, double advantages                                                                                        |    0.31 |            2.38 |             1.83 | amalgnameless #2                                  
 able         | Able models might join ultimately eyes. Statements find modern, worthy boa                                                                                                                               |   12.20 |            4.69 |             6.24 | univmaxi #9                                       
 able         | Able newspapers must not reject a little completely little equations. Needs may                                                                                                                          |   12.22 |            0.09 |             2.24 | exportiamalg #2                                   
 able         | Able, previous boys tell much to a lessons. Financial women would write generally days. Lives aim by a obligations; fair, independent homes would try days. National times take either as a business     |    8.30 |            6.54 |             3.23 | importoamalgamalg #1                              
 able         | Able services must tell thus patients; quiet, complex hundreds might forget fair aspects. Special, serio                                                                                                 |    0.00 |            1.37 |             1.45 | importoedu pack #2                                
 able         | Able standards eat calmly social follow                                                                                                                                                                  |    8.11 |            2.52 |             7.97 | amalgexporti #1                                   
 able         | Able, useless players worry colleagues. Growing, patient sales would review on a minutes. Quickly new seasons might adjust. Windows                                                                      |    8.22 |           99.86 |             1.48 | scholarunivamalg #7                               
 able         | Able, useless players worry colleagues. Growing, patient sales would review on a minutes. Quickly new seasons might adjust. Windows                                                                      |    6.92 |            7.78 |             1.48 | edu packexporti #1                                
 able         | Able, useless players worry colleagues. Growing, patient sales would review on a minutes. Quickly new seasons might adjust. Windows                                                                      |   10.57 |           99.86 |             1.48 | scholarunivamalg #7                               
 able         | About                                                                                                                                                                                                    |   11.67 |           21.04 |            14.51 | importoamalg #1                                   
 able         | About aggressive christians shall not discuss clear fears. Mild, early teachers educate big variables. Respectively main services move never days; local, necessary firms must fetch al                  |    6.04 |            4.66 |             3.18 | amalgnameless #10                                 
 able         | About commercial men must think near twins. Explanations know expected standards. Social values w                                                                                                        |    9.82 |            9.30 |             7.53 | maxiunivamalg #13                                 
 able         | About dangerous car                                                                                                                                                                                      |    0.42 |            4.33 |             1.51 | edu packmaxi #6                                   
 able         | About estimated shapes used to come. Areas would repeat in a deg                                                                                                                                         |    9.04 |            2.50 |             5.84 | corpunivamalg #14                                 
 able         | About lacking streets will not bring further beneath the thanks. Probably great categories shall not go well sure intens                                                                                 |    4.13 |            1.61 |             1.36 | amalgimporto #2                                   
 able         | About lacking streets will not bring further beneath the thanks. Probably great categories shall not go well sure intens                                                                                 |    6.20 |            1.61 |             1.36 | amalgimporto #2                                   
 able         | About likely bones cook still physical terms. Othe                                                                                                                                                       |    4.64 |            8.27 |             5.78 | edu packscholar #2                                
 able         | About likely projects could recognise. Stupid payments want also limits; other institutions need at the police. Serious, bad children may entertain                                                      |    7.72 |            0.97 |             0.72 | amalgmaxi #7                                      
 able         | About military signals could consider swiftly also international records. Good, following owners get fairly obvious sales; players might understand with                                                 |    1.73 |            4.81 |             1.49 | scholarbrand #2                                   
 able         | About new minds recall actually in addition geographical kids; mines screw. Burning, contemporary colonies shall know police. Ahead possible cases shall not d                                           |    6.39 |            1.84 |             0.82 | edu packscholar #2                                
 able         | About old hours make onwards leading, various hands. Holders breed. Reluctan                                                                                                                             |    9.67 |           83.76 |            64.49 | scholarbrand #3                                   
 able         | About social procedures ignore now useful, welcome men. Materials should understand                                                                                                                      |    1.96 |            5.77 |             7.11 | importoscholar #2                                 
 able         | About traditi                                                                                                                                                                                            |    3.67 |           27.50 |            17.60 | amalgscholar #1                                   
 able         | About traditi                                                                                                                                                                                            |    4.91 |            0.82 |             0.65 | scholarunivamalg #5                               
 able         | About unable rats ought to lose so friends. Still annual rooms want enough such as a accountants. Connections must cope again for an problems. Much western men make trees. Shares                       |    6.34 |            6.77 |             1.29 | edu packimporto #1                                
 able         | Above dependent patients                                                                                                                                                                                 |    9.45 |            0.18 |             1.84 | importoscholar #1                                 
