Timing is on.
 channel | item  |      return_ratio      | return_rank | currency_rank 
---------+-------+------------------------+-------------+---------------
 catalog |  7477 | 0.00000000000000000000 |           1 |            63
 catalog | 20920 | 0.52127659574468085106 |           2 |             1
 catalog | 16453 | 0.54444444444444444444 |           3 |             2
 catalog |  7532 | 0.54794520547945205479 |           4 |             3
 catalog | 21844 | 0.55294117647058823529 |           5 |             4
 catalog | 30454 | 0.59574468085106382979 |           6 |             5
 catalog |  7630 | 0.60975609756097560976 |           7 |            32
 catalog | 15944 | 0.61000000000000000000 |           8 |             6
 catalog | 38731 | 0.61052631578947368421 |           9 |             7
 catalog | 12974 | 0.62626262626262626263 |          10 |            62
 catalog | 25964 | 0.65625000000000000000 |          11 |             8
 catalog | 23080 | 0.66292134831460674157 |          12 |             9
 catalog | 12734 | 0.67741935483870967742 |          13 |            10
 store   | 45541 | 0.67391304347826086957 |           1 |             1
 store   |   446 | 0.68817204301075268817 |           2 |             2
 store   | 30454 | 0.73737373737373737374 |           3 |             3
 store   |  9400 | 0.73737373737373737374 |           3 |            13
 store   | 21704 | 0.75862068965517241379 |           5 |             4
 store   | 16790 | 0.77272727272727272727 |           6 |             5
 store   | 14935 | 0.82000000000000000000 |           7 |             6
 store   | 13261 | 0.85416666666666666667 |           8 |             7
 store   | 16576 | 0.85714285714285714286 |           9 |             8
 store   | 32515 | 0.85882352941176470588 |          10 |            46
 store   | 15187 | 0.86315789473684210526 |          11 |             9
 store   | 13051 | 0.86666666666666666667 |          12 |            10
 web     | 40207 | 0.00000000000000000000 |           1 |            27
 web     | 25912 | 0.00000000000000000000 |           1 |            40
 web     | 17188 | 0.45000000000000000000 |           3 |             1
 web     | 29821 | 0.52941176470588235294 |           4 |            89
 web     | 19960 | 0.53125000000000000000 |           5 |             2
 web     | 42106 | 0.62666666666666666667 |           6 |             3
 web     | 14614 | 0.63736263736263736264 |           7 |             4
 web     | 32941 | 0.63888888888888888889 |           8 |            19
 web     | 17960 | 0.64130434782608695652 |           9 |             5
 web     | 11944 | 0.65853658536585365854 |          10 |             6
 web     | 28832 | 0.66279069767441860465 |          11 |             7
 web     | 19063 | 0.68181818181818181818 |          12 |             8
 web     |  1040 | 0.70000000000000000000 |          13 |             9
 web     | 15622 | 0.70212765957446808511 |          14 |            10
(39 rows)

Time: 811,700 ms
