Timing is on.
 d_week_seq1 | round | round | round | round | round | round | round 
-------------+-------+-------+-------+-------+-------+-------+-------
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5114 |  0.98 |  0.93 |       |       |  0.65 |  0.99 |  1.10
        5115 |  1.03 |  1.00 |  0.96 |  1.06 |  0.97 |  1.05 |  1.04
        5115 |  1.03 |  1.00 |  0.96 |  1.06 |  0.97 |  1.05 |  1.04
        5115 |  1.03 |  1.00 |  0.96 |  1.06 |  0.97 |  1.05 |  1.04
