Timing is on.
                     i_category                     |                      i_class                       |                      i_brand                       | s_store_name | s_company_name | d_moy | sum_sales |   avg_monthly_sales   
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+--------------+----------------+-------+-----------+-----------------------
 Music                                              | rock                                               | amalgscholar #1                                    | ought        | Unknown        |     2 |   1727.16 | 4565.6000000000000000
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     2 |   1306.40 | 4123.6008333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ation        | Unknown        |     2 |   2116.43 | 4909.4608333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ation        | Unknown        |     4 |   2136.23 | 4909.4608333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | ation        | Unknown        |     4 |   2280.93 | 4934.5041666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ought        | Unknown        |     5 |   2109.27 | 4745.2958333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     6 |   2150.16 | 4764.5966666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | ation        | Unknown        |     3 |   2322.89 | 4934.5041666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     5 |   2122.71 | 4664.8616666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | ation        | Unknown        |     5 |   2421.13 | 4934.5041666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     7 |   2014.07 | 4524.4991666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | eing         | Unknown        |     3 |   2119.90 | 4626.4591666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     2 |   1989.70 | 4485.7891666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ation        | Unknown        |     6 |   2059.02 | 4517.1641666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     7 |   2106.75 | 4534.7316666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     4 |   2132.21 | 4548.7383333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | ought        | Unknown        |     7 |   2171.50 | 4565.6000000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     2 |   2271.00 | 4664.8616666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ought        | Unknown        |     3 |   2365.23 | 4745.2958333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     4 |   2232.49 | 4595.1525000000000000
 Women                                              | maternity                                          | exportiamalg #1                                    | eing         | Unknown        |     4 |   1740.89 | 4098.2658333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | ese          | Unknown        |     4 |   1819.86 | 4139.9775000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     1 |   2236.65 | 4548.7383333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     3 |   2491.48 | 4764.5966666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     4 |   2463.75 | 4725.6308333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     7 |   1569.75 | 3829.6391666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ation        | Unknown        |     3 |   2271.17 | 4517.1641666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     3 |   2448.74 | 4664.8616666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | ought        | Unknown        |     1 |   1944.44 | 4149.1941666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     4 |   2372.90 | 4568.7116666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     3 |   2401.31 | 4595.1525000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     4 |   2336.01 | 4524.4991666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     6 |   2297.69 | 4485.7891666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ation        | Unknown        |     4 |   2343.92 | 4517.1641666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     4 |   2330.46 | 4485.7891666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     7 |   2337.00 | 4485.7891666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     6 |   1690.16 | 3829.6391666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     7 |   2432.90 | 4568.7116666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     2 |   2597.03 | 4725.6308333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     4 |   2413.23 | 4534.7316666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     3 |   2607.00 | 4725.6308333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     1 |   2660.79 | 4764.5966666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     6 |   2491.98 | 4595.1525000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     3 |   2487.66 | 4568.7116666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     7 |   2219.45 | 4294.8658333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | ation        | Unknown        |     6 |   1994.69 | 4068.8291666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     2 |   2702.57 | 4764.5966666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     3 |   2492.67 | 4548.7383333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     5 |   1781.01 | 3829.6391666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     2 |   2486.14 | 4534.7316666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | eing         | Unknown        |     7 |   2591.94 | 4621.6433333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | eing         | Unknown        |     2 |   2608.42 | 4626.4591666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     6 |   2708.36 | 4725.6308333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     7 |   2107.95 | 4123.6008333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ought        | Unknown        |     6 |   2737.82 | 4745.2958333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | eing         | Unknown        |     3 |   2615.44 | 4621.6433333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     2 |   2600.82 | 4595.1525000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ought        | Unknown        |     7 |   2758.61 | 4745.2958333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     4 |   2312.19 | 4294.8658333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     2 |   2547.10 | 4524.4991666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     4 |   2149.94 | 4123.6008333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     6 |   2597.92 | 4568.7116666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | ought        | Unknown        |     7 |   2181.21 | 4149.1941666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     5 |   2628.10 | 4595.1525000000000000
 Women                                              | maternity                                          | exportiamalg #1                                    | ese          | Unknown        |     3 |   2175.46 | 4139.9775000000000000
 Music                                              | rock                                               | amalgscholar #1                                    | ought        | Unknown        |     3 |   2606.58 | 4565.6000000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     5 |   2592.21 | 4548.7383333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     7 |   2712.35 | 4664.8616666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ation        | Unknown        |     7 |   2564.83 | 4517.1641666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | ation        | Unknown        |     2 |   2117.57 | 4068.8291666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     5 |   2198.04 | 4123.6008333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     7 |   2674.23 | 4595.1525000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     2 |   2628.34 | 4548.7383333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ought        | Unknown        |     3 |   2609.64 | 4517.7125000000000000
 Men                                                | accessories                                        | amalgimporto #1                                    | ought        | Unknown        |     4 |   2616.11 | 4517.7125000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     1 |   2628.70 | 4524.4991666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     3 |   2640.44 | 4534.7316666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     3 |   2238.71 | 4123.6008333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | ese          | Unknown        |     7 |   2256.93 | 4139.9775000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     5 |   2696.16 | 4568.7116666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     5 |   2423.31 | 4294.8658333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     7 |   2680.05 | 4548.7383333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | eing         | Unknown        |     1 |   2762.39 | 4626.4591666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | ation        | Unknown        |     5 |   3046.51 | 4909.4608333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     6 |   2452.93 | 4294.8658333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     5 |   2696.20 | 4534.7316666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | ation        | Unknown        |     6 |   3084.06 | 4909.4608333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     6 |   2852.96 | 4664.8616666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | ation        | Unknown        |     6 |   3131.67 | 4934.5041666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     2 |   2768.87 | 4568.7116666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ation        | Unknown        |     1 |   2719.14 | 4517.1641666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     5 |   2730.96 | 4524.4991666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | eing         | Unknown        |     6 |   2312.90 | 4098.2658333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | eing         | Unknown        |     7 |   2313.98 | 4098.2658333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | ese          | Unknown        |     6 |   2357.57 | 4139.9775000000000000
 Men                                                | accessories                                        | amalgimporto #1                                    | ought        | Unknown        |     7 |   2740.14 | 4517.7125000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     1 |   2888.89 | 4664.8616666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | eing         | Unknown        |     6 |   2850.70 | 4626.4591666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | eing         | Unknown        |     6 |   2856.24 | 4621.6433333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ought        | Unknown        |     5 |   2766.56 | 4517.7125000000000000
(100 rows)

Time: 969,369 ms
