Timing is on.
                     i_category                     |                      i_class                       |                      i_brand                       | i_product_name | d_year | d_qoy | d_moy | s_store_id |   sumsales   | rk  
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+--------------+-----
 Books                                              | arts                                               | amalgmaxi #12                                      |                |        |       |       |            |   1513043.36 |  25
 Books                                              | arts                                               | amalgmaxi #2                                       |                |        |       |       |            |    779874.94 |  80
 Books                                              | arts                                               | amalgmaxi #3                                       |                |        |       |       |            |    653537.30 |  91
 Books                                              | arts                                               | amalgmaxi #8                                       |                |        |       |       |            |    605029.97 |  95
 Books                                              | arts                                               | amalgmaxi #9                                       |                |        |       |       |            |    572213.57 | 100
 Books                                              | arts                                               |                                                    |                |        |       |       |            |   4985971.82 |  17
 Books                                              | business                                           | importomaxi #12                                    |                |        |       |       |            |   1243102.06 |  39
 Books                                              | business                                           | importomaxi #2                                     |                |        |       |       |            |    947245.34 |  61
 Books                                              | business                                           | importomaxi #6                                     |                |        |       |       |            |    730420.76 |  83
 Books                                              | business                                           | importomaxi #8                                     |                |        |       |       |            |   1042491.88 |  54
 Books                                              | business                                           | importomaxi #9                                     |                |        |       |       |            |    946035.38 |  62
 Books                                              | business                                           |                                                    |                |        |       |       |            |   5866067.46 |  12
 Books                                              | computers                                          | exportimaxi #12                                    |                |        |       |       |            |   1412171.08 |  27
 Books                                              | computers                                          | exportimaxi #2                                     |                |        |       |       |            |   1638690.17 |  22
 Books                                              | computers                                          | exportimaxi #3                                     |                |        |       |       |            |    593169.41 |  98
 Books                                              | computers                                          | exportimaxi #6                                     |                |        |       |       |            |    815597.25 |  78
 Books                                              | computers                                          | exportimaxi #8                                     |                |        |       |       |            |   1250127.72 |  38
 Books                                              | computers                                          | exportimaxi #9                                     |                |        |       |       |            |    744478.24 |  81
 Books                                              | computers                                          |                                                    |                |        |       |       |            |   7127206.81 |   7
 Books                                              | cooking                                            | amalgunivamalg #12                                 |                |        |       |       |            |   1140371.00 |  47
 Books                                              | cooking                                            | amalgunivamalg #2                                  |                |        |       |       |            |    588722.39 |  99
 Books                                              | cooking                                            | amalgunivamalg #3                                  |                |        |       |       |            |    702323.43 |  87
 Books                                              | cooking                                            | amalgunivamalg #6                                  |                |        |       |       |            |    974464.44 |  57
 Books                                              | cooking                                            | amalgunivamalg #8                                  |                |        |       |       |            |    907633.69 |  64
 Books                                              | cooking                                            | amalgunivamalg #9                                  |                |        |       |       |            |    609603.65 |  94
 Books                                              | cooking                                            |                                                    |                |        |       |       |            |   5509107.89 |  13
 Books                                              | entertainments                                     | edu packmaxi #12                                   |                |        |       |       |            |    881897.85 |  67
 Books                                              | entertainments                                     | edu packmaxi #2                                    |                |        |       |       |            |    680106.73 |  90
 Books                                              | entertainments                                     | edu packmaxi #3                                    |                |        |       |       |            |    963680.48 |  58
 Books                                              | entertainments                                     | edu packmaxi #6                                    |                |        |       |       |            |    838524.20 |  74
 Books                                              | entertainments                                     | edu packmaxi #8                                    |                |        |       |       |            |    855454.11 |  71
 Books                                              | entertainments                                     |                                                    |                |        |       |       |            |   5395237.59 |  15
 Books                                              | fiction                                            | scholarunivamalg #12                               |                |        |       |       |            |    982523.42 |  56
 Books                                              | fiction                                            | scholarunivamalg #2                                |                |        |       |       |            |   1874428.48 |  18
 Books                                              | fiction                                            | scholarunivamalg #3                                |                |        |       |       |            |    862112.34 |  69
 Books                                              | fiction                                            | scholarunivamalg #6                                |                |        |       |       |            |   1047397.76 |  53
 Books                                              | fiction                                            | scholarunivamalg #8                                |                |        |       |       |            |   1496962.76 |  26
 Books                                              | fiction                                            | scholarunivamalg #9                                |                |        |       |       |            |    955679.25 |  60
 Books                                              | fiction                                            |                                                    |                |        |       |       |            |   7620625.27 |   3
 Books                                              | history                                            | scholarmaxi #12                                    |                |        |       |       |            |   1365005.23 |  34
 Books                                              | history                                            | scholarmaxi #2                                     |                |        |       |       |            |   1661474.04 |  21
 Books                                              | history                                            | scholarmaxi #3                                     |                |        |       |       |            |    847840.88 |  72
 Books                                              | history                                            | scholarmaxi #6                                     |                |        |       |       |            |   1145450.74 |  46
 Books                                              | history                                            | scholarmaxi #8                                     |                |        |       |       |            |   1230811.20 |  41
 Books                                              | history                                            | scholarmaxi #9                                     |                |        |       |       |            |   1272887.27 |  36
 Books                                              | history                                            |                                                    |                |        |       |       |            |   8007143.42 |   2
 Books                                              | home repair                                        | importounivamalg #12                               |                |        |       |       |            |    856022.59 |  70
 Books                                              | home repair                                        | importounivamalg #2                                |                |        |       |       |            |   1617236.70 |  23
 Books                                              | home repair                                        | importounivamalg #3                                |                |        |       |       |            |    871553.23 |  68
 Books                                              | home repair                                        | importounivamalg #6                                |                |        |       |       |            |    695686.49 |  88
 Books                                              | home repair                                        | importounivamalg #8                                |                |        |       |       |            |   1722118.11 |  20
 Books                                              | home repair                                        | importounivamalg #9                                |                |        |       |       |            |    784548.87 |  79
 Books                                              | home repair                                        |                                                    |                |        |       |       |            |   7137564.18 |   6
 Books                                              | mystery                                            | corpunivamalg #12                                  |                |        |       |       |            |   1162948.08 |  45
