Timing is on.
 w_warehouse_sk | i_item_sk | d_moy |         mean         |        cov         | w_warehouse_sk | i_item_sk | d_moy |         mean         |        cov         
----------------+-----------+-------+----------------------+--------------------+----------------+-----------+-------+----------------------+--------------------
              1 |       578 |     1 | 402.5000000000000000 | 1.0912339380395429 |              1 |       578 |     2 | 457.6666666666666667 | 1.0319391825315033
              1 |      1252 |     1 | 291.0000000000000000 | 1.1137361087282818 |              1 |      1252 |     2 | 292.0000000000000000 | 1.0924067060093562
              1 |      2180 |     1 | 297.0000000000000000 | 1.0922176962354141 |              1 |      2180 |     2 | 341.0000000000000000 | 1.4523532576898240
              1 |      2228 |     1 | 367.6000000000000000 | 1.0655375077791948 |              1 |      2228 |     2 | 417.7500000000000000 | 1.0805531051226332
              1 |      2540 |     1 | 322.8000000000000000 | 1.0677567315546778 |              1 |      2540 |     2 | 428.0000000000000000 | 1.1337410681028598
              1 |      2749 |     1 | 357.0000000000000000 | 1.2270463642372325 |              1 |      2749 |     2 | 432.2500000000000000 | 1.0043335070181839
              1 |      4742 |     1 | 290.0000000000000000 | 1.1579790916482103 |              1 |      4742 |     2 | 267.0000000000000000 | 1.1547066124097903
              1 |      6694 |     1 | 345.4000000000000000 | 1.0777271599168442 |              1 |      6694 |     2 | 390.7500000000000000 | 1.1419538398922713
              1 |      7108 |     1 | 218.2500000000000000 | 1.6502199158340619 |              1 |      7108 |     2 | 266.5000000000000000 | 1.3383078205862927
              1 |      7459 |     1 | 362.6000000000000000 | 1.1243693686474462 |              1 |      7459 |     2 | 348.7500000000000000 | 1.1278052159075154
              1 |      7690 |     1 | 369.7500000000000000 | 1.1052969771222934 |              1 |      7690 |     2 | 448.6666666666666667 | 1.0461159630184703
              1 |      8857 |     1 | 281.6000000000000000 | 1.3162664291533629 |              1 |      8857 |     2 | 371.7500000000000000 | 1.1778884342314297
              1 |      9511 |     1 | 424.8000000000000000 | 1.0733164857707086 |              1 |      9511 |     2 | 232.2500000000000000 | 1.5529828205133649
              1 |      9584 |     1 | 231.0000000000000000 | 1.0512263036284719 |              1 |      9584 |     2 | 398.0000000000000000 | 1.0101585814886809
              1 |     11114 |     1 | 297.2500000000000000 | 1.0067340812385568 |              1 |     11114 |     2 | 377.7500000000000000 | 1.0492086162106340
              1 |     11272 |     1 | 361.4000000000000000 | 1.0216863792791256 |              1 |     11272 |     2 | 135.5000000000000000 | 1.3307175586905535
              1 |     11330 |     1 | 371.2000000000000000 | 1.0267797856980927 |              1 |     11330 |     2 | 348.7500000000000000 | 1.0487789197241462
              1 |     11485 |     1 | 315.2000000000000000 | 1.1279644242468211 |              1 |     11485 |     2 | 323.0000000000000000 | 1.1952950542658050
              1 |     12194 |     1 | 342.0000000000000000 | 1.0271172792188801 |              1 |     12194 |     2 | 284.5000000000000000 | 1.5296795309291775
              1 |     12212 |     1 | 336.8000000000000000 | 1.0047336598641479 |              1 |     12212 |     2 | 458.7500000000000000 | 1.0133784238619815
              1 |     12728 |     1 | 319.8000000000000000 | 1.2109883150862289 |              1 |     12728 |     2 | 330.6666666666666667 | 1.3718021061619446
              1 |     12844 |     1 | 325.2500000000000000 | 1.0513651132418078 |              1 |     12844 |     2 | 299.7500000000000000 | 1.4421283659546589
              1 |     13538 |     1 | 235.2000000000000000 | 1.3353772198477338 |              1 |     13538 |     2 | 261.0000000000000000 | 1.0350454928442567
