Timing is on.
 i_manager_id | sum_sales |   avg_monthly_sales   
--------------+-----------+-----------------------
            1 |    530.00 | 1652.2791666666666667
            1 |    746.81 | 1652.2791666666666667
            1 |    827.37 | 1652.2791666666666667
            1 |    923.61 | 1652.2791666666666667
            1 |   1333.38 | 1652.2791666666666667
            1 |   1339.25 | 1652.2791666666666667
            1 |   1838.71 | 1652.2791666666666667
            1 |   1907.78 | 1652.2791666666666667
            1 |   2340.55 | 1652.2791666666666667
            1 |   2771.03 | 1652.2791666666666667
            1 |   3664.31 | 1652.2791666666666667
            2 |    709.34 | 1356.2875000000000000
            2 |    763.64 | 1356.2875000000000000
            2 |    804.52 | 1356.2875000000000000
            2 |    870.52 | 1356.2875000000000000
            2 |    910.01 | 1356.2875000000000000
            2 |    963.87 | 1356.2875000000000000
            2 |    996.80 | 1356.2875000000000000
            2 |   1597.34 | 1356.2875000000000000
            2 |   1740.56 | 1356.2875000000000000
            2 |   2037.39 | 1356.2875000000000000
            2 |   2287.21 | 1356.2875000000000000
            2 |   2594.25 | 1356.2875000000000000
            3 |    705.32 | 1901.7300000000000000
            3 |    720.35 | 1901.7300000000000000
            3 |    995.64 | 1901.7300000000000000
            3 |   1139.91 | 1901.7300000000000000
            3 |   1206.62 | 1901.7300000000000000
            3 |   1238.34 | 1901.7300000000000000
            3 |   1266.40 | 1901.7300000000000000
            3 |   2378.98 | 1901.7300000000000000
            3 |   2459.09 | 1901.7300000000000000
            3 |   3110.22 | 1901.7300000000000000
            3 |   3320.82 | 1901.7300000000000000
            3 |   4279.07 | 1901.7300000000000000
            4 |    308.94 |  910.2100000000000000
            4 |    333.01 |  910.2100000000000000
            4 |    408.94 |  910.2100000000000000
            4 |    445.49 |  910.2100000000000000
            4 |    519.68 |  910.2100000000000000
            4 |    549.59 |  910.2100000000000000
            4 |    620.57 |  910.2100000000000000
            4 |   1304.41 |  910.2100000000000000
            4 |   1707.84 |  910.2100000000000000
            4 |   1721.27 |  910.2100000000000000
            4 |   2075.62 |  910.2100000000000000
            5 |    841.46 | 1865.3941666666666667
            5 |    923.73 | 1865.3941666666666667
            5 |    980.35 | 1865.3941666666666667
            5 |   1056.93 | 1865.3941666666666667
            5 |   1163.77 | 1865.3941666666666667
            5 |   1174.31 | 1865.3941666666666667
            5 |   1212.99 | 1865.3941666666666667
            5 |   2466.01 | 1865.3941666666666667
            5 |   2576.54 | 1865.3941666666666667
            5 |   2936.89 | 1865.3941666666666667
            5 |   3036.13 | 1865.3941666666666667
            5 |   4015.62 | 1865.3941666666666667
            6 |   1354.45 | 3195.3908333333333333
            6 |   1380.61 | 3195.3908333333333333
            6 |   1381.72 | 3195.3908333333333333
            6 |   1598.62 | 3195.3908333333333333
            6 |   1870.51 | 3195.3908333333333333
            6 |   2206.88 | 3195.3908333333333333
            6 |   2640.37 | 3195.3908333333333333
            6 |   4103.01 | 3195.3908333333333333
            6 |   4304.72 | 3195.3908333333333333
            6 |   4605.81 | 3195.3908333333333333
            6 |   6140.92 | 3195.3908333333333333
            6 |   6757.07 | 3195.3908333333333333
            7 |   1208.44 | 2620.2816666666666667
            7 |   1470.23 | 2620.2816666666666667
            7 |   1473.27 | 2620.2816666666666667
            7 |   1509.64 | 2620.2816666666666667
            7 |   1628.89 | 2620.2816666666666667
            7 |   1989.45 | 2620.2816666666666667
            7 |   2040.43 | 2620.2816666666666667
            7 |   3337.91 | 2620.2816666666666667
            7 |   3584.06 | 2620.2816666666666667
            7 |   5039.83 | 2620.2816666666666667
            7 |   5358.99 | 2620.2816666666666667
            8 |    598.87 | 1771.1475000000000000
            8 |    866.48 | 1771.1475000000000000
            8 |   1013.11 | 1771.1475000000000000
            8 |   1133.95 | 1771.1475000000000000
            8 |   1145.39 | 1771.1475000000000000
            8 |   1153.49 | 1771.1475000000000000
            8 |   1472.90 | 1771.1475000000000000
            8 |   2690.86 | 1771.1475000000000000
            8 |   2760.77 | 1771.1475000000000000
            8 |   2901.74 | 1771.1475000000000000
            8 |   3658.19 | 1771.1475000000000000
            9 |   1106.23 | 2198.7741666666666667
            9 |   1131.48 | 2198.7741666666666667
            9 |   1240.24 | 2198.7741666666666667
            9 |   1388.45 | 2198.7741666666666667
            9 |   1478.07 | 2198.7741666666666667
            9 |   1566.08 | 2198.7741666666666667
            9 |   1870.60 | 2198.7741666666666667
            9 |   2755.53 | 2198.7741666666666667
(100 rows)

Time: 944,671 ms
