Timing is on.
                   i_product_name                   |                      i_brand                       |                      i_class                       |                     i_category                     |         qoh          
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------
 pribarn stbarese                                   | edu packamalg #2                                   | swimwear                                           | Women                                              | 433.7781569965870307
 pribarn stbarese                                   | edu packamalg #2                                   | swimwear                                           |                                                    | 433.7781569965870307
 pribarn stbarese                                   | edu packamalg #2                                   |                                                    |                                                    | 433.7781569965870307
 pribarn stbarese                                   |                                                    |                                                    |                                                    | 433.7781569965870307
 priationesen stable                                | importounivamalg #13                               | camcorders                                         | Electronics                                        | 434.8817567567567568
 priationesen stable                                | importounivamalg #13                               | camcorders                                         |                                                    | 434.8817567567567568
 priationesen stable                                | importounivamalg #13                               |                                                    |                                                    | 434.8817567567567568
 priationesen stable                                |                                                    |                                                    |                                                    | 434.8817567567567568
 antipribareseese                                   | edu packexporti #2                                 | school-uniforms                                    | Children                                           | 436.7751677852348993
 antipribareseese                                   | edu packexporti #2                                 | school-uniforms                                    |                                                    | 436.7751677852348993
 antipribareseese                                   | edu packexporti #2                                 |                                                    |                                                    | 436.7751677852348993
 antipribareseese                                   |                                                    |                                                    |                                                    | 436.7751677852348993
 callypribarantiable                                | edu packedu pack #1                                | athletic                                           | Shoes                                              | 439.6843853820598007
 callypribarantiable                                | edu packedu pack #1                                | athletic                                           |                                                    | 439.6843853820598007
 callypribarantiable                                | edu packedu pack #1                                |                                                    |                                                    | 439.6843853820598007
 callypribarantiable                                |                                                    |                                                    |                                                    | 439.6843853820598007
 ablecallyablen stought                             | importonameless #3                                 | paint                                              | Home                                               | 440.0266666666666667
 ablecallyablen stought                             | importonameless #3                                 | paint                                              |                                                    | 440.0266666666666667
 ablecallyablen stought                             | importonameless #3                                 |                                                    |                                                    | 440.0266666666666667
 ablecallyablen stought                             |                                                    |                                                    |                                                    | 440.0266666666666667
 eingoughtprianti                                   | amalgimporto #1                                    | accessories                                        | Men                                                | 442.7020547945205479
 eingoughtprianti                                   | amalgimporto #1                                    | accessories                                        |                                                    | 442.7020547945205479
 eingoughtprianti                                   | amalgimporto #1                                    |                                                    |                                                    | 442.7020547945205479
 eingoughtprianti                                   |                                                    |                                                    |                                                    | 442.7020547945205479
 eingbarbarpripri                                   | exportischolar #1                                  | pop                                                | Music                                              | 443.0302013422818792
 eingbarbarpripri                                   | exportischolar #1                                  | pop                                                |                                                    | 443.0302013422818792
 eingbarbarpripri                                   | exportischolar #1                                  |                                                    |                                                    | 443.0302013422818792
 eingbarbarpripri                                   |                                                    |                                                    |                                                    | 443.0302013422818792
 eseoughtpripri                                     | scholarunivamalg #3                                | fiction                                            | Books                                              | 443.5906040268456376
 eseoughtpripri                                     | scholarunivamalg #3                                | fiction                                            |                                                    | 443.5906040268456376
 eseoughtpripri                                     | scholarunivamalg #3                                |                                                    |                                                    | 443.5906040268456376
 eseoughtpripri                                     |                                                    |                                                    |                                                    | 443.5906040268456376
 antiprin stablepri                                 | exportiedu pack #2                                 | kids                                               | Shoes                                              | 443.6135593220338983
 antiprin stablepri                                 | exportiedu pack #2                                 | kids                                               |                                                    | 443.6135593220338983
 antiprin stablepri                                 | exportiedu pack #2                                 |                                                    |                                                    | 443.6135593220338983
 antiprin stablepri                                 |                                                    |                                                    |                                                    | 443.6135593220338983
 ableableationeingpri                               | importoamalg #1                                    | fragrances                                         | Women                                              | 443.6887417218543046
 ableableationeingpri                               | importoamalg #1                                    | fragrances                                         |                                                    | 443.6887417218543046
 ableableationeingpri                               | importoamalg #1                                    |                                                    |                                                    | 443.6887417218543046
 ableableationeingpri                               |                                                    |                                                    |                                                    | 443.6887417218543046
 einganticallyableought                             | namelessmaxi #11                                   | romance                                            | Books                                              | 443.7027027027027027
 einganticallyableought                             | namelessmaxi #11                                   | romance                                            |                                                    | 443.7027027027027027
 einganticallyableought                             | namelessmaxi #11                                   |                                                    |                                                    | 443.7027027027027027
 einganticallyableought                             |                                                    |                                                    |                                                    | 443.7027027027027027
 ableantiableesepri                                 | corpnameless #3                                    | football                                           | Sports                                             | 444.4280936454849498
 ableantiableesepri                                 | corpnameless #3                                    | football                                           |                                                    | 444.4280936454849498
 ableantiableesepri                                 | corpnameless #3                                    |                                                    |                                                    | 444.4280936454849498
 ableantiableesepri                                 |                                                    |                                                    |                                                    | 444.4280936454849498
 callyeingoughtable                                 | importobrand #7                                    | bedding                                            | Home                                               | 444.4377104377104377
 callyeingoughtable                                 | importobrand #7                                    | bedding                                            |                                                    | 444.4377104377104377
 callyeingoughtable                                 | importobrand #7                                    |                                                    |                                                    | 444.4377104377104377
 callyeingoughtable                                 |                                                    |                                                    |                                                    | 444.4377104377104377
 eingablepripripri                                  | importoamalg #1                                    | fragrances                                         | Women                                              | 445.1724137931034483
 eingablepripripri                                  | importoamalg #1                                    | fragrances                                         |                                                    | 445.1724137931034483
 eingablepripripri                                  | importoamalg #1                                    |                                                    |                                                    | 445.1724137931034483
