Timing is on.
 i_manager_id | sum_sales |   avg_monthly_sales    
--------------+-----------+------------------------
            1 |   4053.46 |  7644.4891666666666667
            1 |   4113.55 |  7644.4891666666666667
            1 |   4136.25 |  7644.4891666666666667
            1 |   4537.32 |  7644.4891666666666667
            1 |   4812.75 |  7644.4891666666666667
            1 |   5297.53 |  7644.4891666666666667
            1 |   5635.72 |  7644.4891666666666667
            1 |   9033.73 |  7644.4891666666666667
            1 |  10350.41 |  7644.4891666666666667
            1 |  10868.83 |  7644.4891666666666667
            1 |  14304.39 |  7644.4891666666666667
            1 |  14589.93 |  7644.4891666666666667
            2 |   1150.87 |  3127.5458333333333333
            2 |   1524.03 |  3127.5458333333333333
            2 |   1635.41 |  3127.5458333333333333
            2 |   1793.28 |  3127.5458333333333333
            2 |   1889.69 |  3127.5458333333333333
            2 |   1929.20 |  3127.5458333333333333
            2 |   2322.53 |  3127.5458333333333333
            2 |   3624.50 |  3127.5458333333333333
            2 |   3806.79 |  3127.5458333333333333
            2 |   4577.83 |  3127.5458333333333333
            2 |   5625.20 |  3127.5458333333333333
            2 |   7651.22 |  3127.5458333333333333
            3 |   3671.83 |  8131.2841666666666667
            3 |   4195.75 |  8131.2841666666666667
            3 |   4976.92 |  8131.2841666666666667
            3 |   4977.02 |  8131.2841666666666667
            3 |   5014.92 |  8131.2841666666666667
            3 |   5169.61 |  8131.2841666666666667
            3 |   5322.36 |  8131.2841666666666667
            3 |  10494.27 |  8131.2841666666666667
            3 |  10906.27 |  8131.2841666666666667
            3 |  12699.16 |  8131.2841666666666667
            3 |  14950.67 |  8131.2841666666666667
            3 |  15196.63 |  8131.2841666666666667
            4 |   3584.66 |  6871.6433333333333333
            4 |   3759.13 |  6871.6433333333333333
            4 |   3825.46 |  6871.6433333333333333
            4 |   4203.07 |  6871.6433333333333333
            4 |   4329.01 |  6871.6433333333333333
            4 |   5031.20 |  6871.6433333333333333
            4 |   5751.66 |  6871.6433333333333333
            4 |   8511.83 |  6871.6433333333333333
            4 |   9025.82 |  6871.6433333333333333
            4 |   9660.52 |  6871.6433333333333333
            4 |  12240.96 |  6871.6433333333333333
            4 |  12536.40 |  6871.6433333333333333
            5 |   4344.05 |  8467.6291666666666667
            5 |   4420.50 |  8467.6291666666666667
            5 |   4677.43 |  8467.6291666666666667
            5 |   5258.17 |  8467.6291666666666667
            5 |   5404.22 |  8467.6291666666666667
            5 |   5767.52 |  8467.6291666666666667
            5 |   5829.96 |  8467.6291666666666667
            5 |  10274.41 |  8467.6291666666666667
            5 |  11130.89 |  8467.6291666666666667
            5 |  12136.27 |  8467.6291666666666667
            5 |  15437.94 |  8467.6291666666666667
            5 |  16930.19 |  8467.6291666666666667
            6 |   4053.06 |  8579.6908333333333333
            6 |   4457.19 |  8579.6908333333333333
            6 |   4893.98 |  8579.6908333333333333
            6 |   5058.41 |  8579.6908333333333333
            6 |   5311.22 |  8579.6908333333333333
            6 |   5599.09 |  8579.6908333333333333
            6 |   5615.52 |  8579.6908333333333333
            6 |  10881.77 |  8579.6908333333333333
            6 |  11106.01 |  8579.6908333333333333
            6 |  11916.24 |  8579.6908333333333333
            6 |  16967.51 |  8579.6908333333333333
            6 |  17096.29 |  8579.6908333333333333
            7 |   4631.60 |  9118.9775000000000000
            7 |   4801.72 |  9118.9775000000000000
            7 |   5234.75 |  9118.9775000000000000
            7 |   5392.85 |  9118.9775000000000000
            7 |   5535.94 |  9118.9775000000000000
            7 |   6028.08 |  9118.9775000000000000
            7 |   6179.19 |  9118.9775000000000000
            7 |  10700.23 |  9118.9775000000000000
            7 |  12666.88 |  9118.9775000000000000
            7 |  13229.58 |  9118.9775000000000000
            7 |  17343.64 |  9118.9775000000000000
            7 |  17683.27 |  9118.9775000000000000
            8 |   3915.27 | 10213.3316666666666667
            8 |   5530.59 | 10213.3316666666666667
            8 |   5614.12 | 10213.3316666666666667
            8 |   6172.10 | 10213.3316666666666667
            8 |   6876.24 | 10213.3316666666666667
            8 |   6882.68 | 10213.3316666666666667
            8 |   7020.58 | 10213.3316666666666667
            8 |  13153.32 | 10213.3316666666666667
            8 |  13764.42 | 10213.3316666666666667
            8 |  13885.84 | 10213.3316666666666667
            8 |  19863.70 | 10213.3316666666666667
            8 |  19881.12 | 10213.3316666666666667
            9 |   4268.83 |  8904.7316666666666667
            9 |   4929.70 |  8904.7316666666666667
            9 |   5393.28 |  8904.7316666666666667
            9 |   5444.08 |  8904.7316666666666667
(100 rows)

Time: 15181,814 ms (00:15,182)
