Timing is on.
 d_year | brand_id |                       brand                        | ext_price 
--------+----------+----------------------------------------------------+-----------
   2002 |  2004002 | edu packimporto #2                                 | 316366.90
   2002 |  1001002 | amalgamalg #2                                      | 302143.75
   2002 |  2001002 | amalgimporto #2                                    | 296829.40
   2002 |  1004002 | edu packamalg #2                                   | 246757.67
   2002 |  1003002 | exportiamalg #2                                    | 231199.13
   2002 |  1002002 | importoamalg #2                                    | 224218.35
   2002 |  3003002 | exportiexporti #2                                  | 201274.77
   2002 |  4002002 | importoedu pack #2                                 | 200193.33
   2002 |  3001002 | amalgexporti #2                                    | 173923.04
   2002 |  5001002 | amalgscholar #2                                    | 163826.50
   2002 |  1002001 | importoamalg #1                                    | 151500.16
   2002 |  5004002 | edu packscholar #2                                 | 148828.98
   2002 |  4004002 | edu packedu pack #2                                | 143221.48
   2002 |  1004001 | edu packamalg #1                                   | 132769.05
   2002 |  3002002 | importoexporti #2                                  | 129549.98
   2002 |  5003001 | exportischolar #1                                  | 125248.52
   2002 |  5002002 | importoscholar #2                                  | 121736.24
   2002 |  3004002 | edu packexporti #2                                 | 118973.22
   2002 |  4004001 | edu packedu pack #1                                | 111645.30
   2002 |  1001001 | amalgamalg #1                                      | 105912.69
   2002 |  2002001 | importoimporto #1                                  | 102500.21
   2002 |  2004001 | edu packimporto #1                                 | 101142.52
   2002 |  2003002 | exportiimporto #2                                  | 100583.54
   2002 |  5001001 | amalgscholar #1                                    |  97557.98
   2002 |  6009005 | maxicorp #5                                        |  96374.37
   2002 |  4001002 | amalgedu pack #2                                   |  91770.87
   2002 |  4002001 | importoedu pack #1                                 |  81226.36
   2002 |  6010004 | univbrand #4                                       |  77848.09
   2002 |  5003001 | importoimporto #2                                  |  77173.10
   2002 |  9010003 | exportiexporti #2                                  |  72386.87
   2002 |  5003002 | exportischolar #2                                  |  70505.76
   2002 |  7009010 | maxibrand #10                                      |  70109.94
   2002 |  3001001 | amalgexporti #1                                    |  68140.90
   2002 |  4003002 | exportiamalg #1                                    |  68065.48
   2002 |  6014002 | edu packbrand #2                                   |  66422.08
   2002 |  9011008 | amalgunivamalg #8                                  |  64281.55
   2002 |  8004007 | edu packunivamalg #7                               |  63825.42
   2002 |  8016006 | corpmaxi #6                                        |  63028.84
   2002 |  4003002 | exportiedu pack #2                                 |  62815.10
   2002 |  4003001 | exportiedu pack #1                                 |  59230.67
   2002 | 10004006 | edu packexporti #2                                 |  58778.02
   2002 |  7012010 | importonameless #10                                |  57698.19
   2002 |  3003001 | exportiexporti #1                                  |  57221.95
   2002 | 10008012 | namelessunivamalg #12                              |  55038.96
   2002 |  7004009 | edu packbrand #9                                   |  54943.12
   2002 |  2002002 | importoimporto #2                                  |  54830.93
   2002 |  5004001 | edu packscholar #1                                 |  53917.56
   2002 | 10014011 | edu packamalgamalg #11                             |  53796.81
   2002 |  4002001 | corpbrand #8                                       |  53549.26
   2002 |  3004001 | edu packexporti #1                                 |  53364.23
   2002 |  7001005 | importoedu pack #1                                 |  53334.57
   2002 |  7007008 | importoimporto #1                                  |  53268.24
   2002 |  2003001 | edu packexporti #2                                 |  53262.83
   2002 |  5003001 | edu packedu pack #2                                |  52598.62
   2002 |  1001001 | edu packexporti #1                                 |  52371.78
   2002 |  7003002 | exportibrand #2                                    |  51295.21
   2002 |  5003001 | edu packedu pack #1                                |  51022.31
   2002 |  6009004 | maxicorp #4                                        |  50738.63
   2002 |  9013002 | exportiunivamalg #2                                |  50422.22
   2002 |  5004001 | exportibrand #9                                    |  49937.85
   2002 |  5002001 | importoscholar #1                                  |  48854.73
   2002 |  3004001 | exportiedu pack #1                                 |  48675.65
   2002 |  2003001 | exportiimporto #1                                  |  48627.23
