Timing is on.
   ca_zip   |   sum   
------------+---------
 30008      |  612.48
 30059      | 2975.34
 30069      | 2539.81
 30150      | 4386.68
 30162      | 2923.63
 30169      | 2479.22
 30191      | 1225.49
 30302      |  460.13
 30344      |  188.35
 30399      | 4642.02
 30411      | 3710.23
 30451      |  458.58
 30499      | 1831.76
 30519      |  339.43
 30534      | 3618.92
 30540      |  326.59
 30587      | 4324.24
 30965      |  992.51
 31083      |  434.33
 31087      | 4054.53
 31147      |  853.55
 31160      | 1940.04
 31204      |  818.34
 31216      |  479.83
 31218      |  491.44
 31289      | 2029.18
 31387      | 2763.35
 31422      |  487.23
 31521      |  759.50
 31529      |  433.09
 31545      |  436.72
 31639      | 1076.86
 31675      | 3679.12
 31692      |  809.92
 31711      | 5767.63
 31749      | 1918.25
 31757      | 4166.17
 31852      | 1685.99
 31904      | 4165.41
 31933      | 1752.64
 31952      | 3635.70
 32106      |  541.01
 32123      |  557.53
 32150      |  792.15
 32293      | 3564.64
 32297      |  678.29
 32366      |  152.03
 32477      | 1527.33
 32503      |  844.24
 32565      |  581.90
 32629      | 1000.73
 32724      |  586.58
 32738      |  469.50
 32808      | 5356.69
 32812      | 5391.59
 32898      | 3629.94
 33003      | 4329.93
 33394      | 1020.98
 33425      |  250.23
 33445      |  206.66
 33451      | 3292.76
 33511      | 2653.33
 33524      |  457.65
 33595      |  487.78
 33604      | 4307.52
 33683      | 4782.44
 33868      | 1061.05
 33951      | 1862.98
 34098      | 5534.15
 34107      | 3489.35
 34120      |  767.59
 34136      | 3292.74
 34145      |  882.56
 34167      |  685.52
 34174      |  795.68
 34188      |  360.19
 34244      | 1189.91
 34289      | 2265.53
 34338      | 3788.27
 34466      | 3596.58
 34489      |   55.44
 34536      | 1988.84
 34546      |  522.00
 34554      |  691.34
 34593      | 2312.44
 34686      |  805.34
 34752      |  413.36
 34843      |  299.23
 34854      | 4031.14
 34975      | 6518.28
 34980      |  695.48
 35038      | 1873.42
 35114      |  669.62
 35115      |  262.65
 35119      |  228.76
 35124      | 2624.58
 35272      |  713.16
 35281      | 1551.60
 35423      |  659.95
 35495      |  432.36
(100 rows)

Time: 8282,398 ms (00:08,282)
