Timing is on.
 i_manufact_id | sum_sales | avg_quarterly_sales  
---------------+-----------+----------------------
           496 |    285.94 | 529.9450000000000000
           496 |    368.59 | 529.9450000000000000
           496 |    888.04 | 529.9450000000000000
           528 |    313.13 | 551.0200000000000000
           528 |    386.84 | 551.0200000000000000
           528 |    676.25 | 551.0200000000000000
           528 |    827.86 | 551.0200000000000000
           122 |    164.94 | 577.0700000000000000
           122 |   1008.24 | 577.0700000000000000
           606 |    337.59 | 608.6350000000000000
           606 |    416.68 | 608.6350000000000000
           606 |    535.40 | 608.6350000000000000
           606 |   1144.87 | 608.6350000000000000
           527 |    285.12 | 615.1525000000000000
           527 |    416.68 | 615.1525000000000000
           527 |    766.14 | 615.1525000000000000
           527 |    992.67 | 615.1525000000000000
           629 |    206.08 | 626.8650000000000000
           629 |    369.42 | 626.8650000000000000
           629 |    897.79 | 626.8650000000000000
           629 |   1034.17 | 626.8650000000000000
           563 |    135.38 | 627.2825000000000000
           563 |    384.26 | 627.2825000000000000
           563 |   1324.70 | 627.2825000000000000
           445 |    317.15 | 628.8525000000000000
           445 |    452.59 | 628.8525000000000000
           445 |   1168.44 | 628.8525000000000000
           805 |    327.88 | 637.4225000000000000
           805 |    385.94 | 637.4225000000000000
           805 |    742.01 | 637.4225000000000000
           805 |   1093.86 | 637.4225000000000000
           647 |    302.20 | 652.3950000000000000
           647 |    309.60 | 652.3950000000000000
           647 |   1288.45 | 652.3950000000000000
           819 |    354.33 | 655.3600000000000000
           819 |    388.70 | 655.3600000000000000
           819 |    539.61 | 655.3600000000000000
           819 |   1338.80 | 655.3600000000000000
           173 |    188.98 | 662.5100000000000000
           173 |    500.64 | 662.5100000000000000
           173 |    739.55 | 662.5100000000000000
           173 |   1220.87 | 662.5100000000000000
           514 |    265.09 | 663.9200000000000000
           514 |    531.62 | 663.9200000000000000
           514 |    563.32 | 663.9200000000000000
           514 |   1295.65 | 663.9200000000000000
           424 |    326.08 | 666.5475000000000000
           424 |    367.61 | 666.5475000000000000
           424 |    752.44 | 666.5475000000000000
           424 |   1220.06 | 666.5475000000000000
           575 |    378.87 | 666.8400000000000000
           575 |    442.01 | 666.8400000000000000
           575 |    561.65 | 666.8400000000000000
           575 |   1284.83 | 666.8400000000000000
           969 |    330.17 | 674.9375000000000000
           969 |    506.98 | 674.9375000000000000
           969 |    839.83 | 674.9375000000000000
           969 |   1022.77 | 674.9375000000000000
           491 |    262.49 | 677.7225000000000000
           491 |    386.20 | 677.7225000000000000
           491 |   1378.98 | 677.7225000000000000
           168 |    239.14 | 679.9825000000000000
           168 |    488.70 | 679.9825000000000000
           168 |   1249.05 | 679.9825000000000000
           853 |    336.70 | 680.8150000000000000
           853 |    472.36 | 680.8150000000000000
           853 |    476.04 | 680.8150000000000000
           853 |   1438.16 | 680.8150000000000000
           730 |    357.02 | 684.7750000000000000
           730 |    380.67 | 684.7750000000000000
           730 |    609.57 | 684.7750000000000000
           730 |   1391.84 | 684.7750000000000000
          1000 |    305.79 | 689.1500000000000000
          1000 |    410.84 | 689.1500000000000000
          1000 |   1401.65 | 689.1500000000000000
           439 |    382.30 | 691.1825000000000000
           439 |    478.04 | 691.1825000000000000
           439 |    822.21 | 691.1825000000000000
           439 |   1082.18 | 691.1825000000000000
           755 |    150.60 | 697.3825000000000000
           755 |    437.63 | 697.3825000000000000
           755 |    772.75 | 697.3825000000000000
           755 |   1428.55 | 697.3825000000000000
           117 |    250.07 | 705.2025000000000000
           117 |    482.16 | 705.2025000000000000
           117 |    776.29 | 705.2025000000000000
           117 |   1312.29 | 705.2025000000000000
            74 |    328.57 | 715.7750000000000000
            74 |    488.25 | 715.7750000000000000
            74 |    908.54 | 715.7750000000000000
            74 |   1137.74 | 715.7750000000000000
           414 |    449.04 | 716.6250000000000000
           414 |    517.61 | 716.6250000000000000
           414 |    608.64 | 716.6250000000000000
           414 |   1291.21 | 716.6250000000000000
           368 |    388.97 | 718.2800000000000000
           368 |    424.29 | 718.2800000000000000
           368 |    576.78 | 718.2800000000000000
           368 |   1483.08 | 718.2800000000000000
           504 |    236.77 | 720.0575000000000000
(100 rows)

Time: 4082,035 ms (00:04,082)
