Timing is on.
 item_sk |   d_date   | web_sales | store_sales | web_cumulative | store_cumulative 
---------+------------+-----------+-------------+----------------+------------------
       1 | 2001-05-05 |           |        7.22 |          44.74 |             7.22
       1 | 2001-05-11 |           |       35.72 |          44.74 |            35.72
       9 | 2001-05-14 |           |       23.02 |          36.09 |            23.02
      11 | 2001-05-13 |           |       15.31 |          63.86 |            15.31
      11 | 2001-05-20 |           |       23.68 |          63.86 |            23.68
      23 | 2001-05-10 |     24.37 |             |          24.37 |             5.20
      23 | 2001-06-20 |    180.55 |             |         180.55 |           125.41
      25 | 2001-05-11 |     64.14 |             |          64.14 |            13.62
      25 | 2001-05-29 |           |       15.14 |          64.14 |            15.14
      25 | 2001-06-08 |    133.35 |             |         133.35 |            15.14
      25 | 2001-06-11 |    139.34 |       30.90 |         139.34 |            30.90
      25 | 2001-06-12 |           |       42.16 |         139.34 |            42.16
      25 | 2001-07-16 |           |       86.24 |         139.34 |            86.24
      25 | 2001-07-28 |           |       86.24 |         139.34 |            86.24
      27 | 2001-07-02 |    370.80 |             |         370.80 |           301.93
      27 | 2001-07-03 |    441.44 |             |         441.44 |           301.93
      27 | 2001-07-20 |           |      424.04 |         441.44 |           424.04
      27 | 2001-07-27 |    499.67 |      491.63 |         499.67 |           491.63
      27 | 2001-07-28 |    655.32 |             |         655.32 |           491.63
      27 | 2001-08-08 |           |      562.60 |         655.32 |           562.60
      27 | 2001-08-18 |    803.75 |             |         803.75 |           562.60
      27 | 2001-08-30 |           |      584.96 |         803.75 |           584.96
      27 | 2001-09-01 |           |      586.24 |         803.75 |           586.24
      27 | 2001-09-03 |    887.71 |             |         887.71 |           586.24
      27 | 2001-09-04 |           |      609.72 |         887.71 |           609.72
      27 | 2001-09-08 |           |      750.19 |         887.71 |           750.19
      27 | 2001-09-09 |           |      858.19 |         887.71 |           858.19
      29 | 2001-06-08 |    140.99 |             |         140.99 |            73.21
      29 | 2001-06-09 |           |      108.98 |         140.99 |           108.98
      29 | 2001-06-13 |           |      111.24 |         140.99 |           111.24
      29 | 2001-07-10 |           |      113.08 |         140.99 |           113.08
      29 | 2001-07-14 |           |      115.10 |         140.99 |           115.10
      35 | 2001-05-20 |     22.96 |        2.14 |          22.96 |             2.14
      35 | 2001-06-15 |    219.82 |             |         219.82 |            32.21
      35 | 2001-06-16 |           |       56.90 |         219.82 |            56.90
