Timing is on.
      ca_county       | d_year |   web_q1_q2_increase   |  store_q1_q2_increase  |   web_q2_q3_increase   |  store_q2_q3_increase  
----------------------+--------+------------------------+------------------------+------------------------+------------------------
 Garza County         |   2000 | 0.20206893786676089642 | 0.16677597295919852842 |     3.0209342147739554 |     2.5040909679591784
 Treasure County      |   2000 | 0.32362930924439914612 | 0.26544978008515992062 |    10.2123889625338840 |     5.5515722925481329
 Woodford County      |   2000 | 0.37937282485158964848 | 0.35323530363166030660 |     7.0612783966330839 |     5.7090689690430504
 Prince Edward County |   2000 | 0.40026871354775359395 | 0.25475644214090867611 |     3.1504784137385740 |     2.8099740930055110
 Northampton County   |   2000 | 0.41407844287944117971 | 0.40350391172290767259 |     3.7092920828904734 |     2.9575624940920556
 Rankin County        |   2000 | 0.44499928001439337330 | 0.34477988145377716888 |     1.8216209581574720 | 0.84474934771610516594
 Rappahannock County  |   2000 | 0.50630583036374359358 | 0.22593629018029928003 |     7.3857138919659591 |     3.7912061110883588
 Grand Isle County    |   2000 | 0.52106233406543004066 | 0.51041158255203887940 |     3.2166846262630562 |     2.4186987762228814
 Robeson County       |   2000 | 0.54146008242106805311 | 0.45275524941524173772 |     3.0186031954812997 |     2.3613078121049872
 Rooks County         |   2000 | 0.55308831358530484360 | 0.47669872224673524362 |     2.7030023441659873 |     2.2402096023610381
 Morton County        |   2000 | 0.55442818822624494740 | 0.46320682117798575172 |     2.2171368396713363 |     1.4325381282258946
 Chesterfield County  |   2000 | 0.57232565266099600404 | 0.56697512818912341650 |     3.6889925590597453 |     3.6337353532171427
 Greeley County       |   2000 | 0.60314370059187315797 | 0.32688998689015898246 |     6.7421972028869219 |     1.3861518194412953
 Jack County          |   2000 | 0.62507808068870476283 | 0.60142846838449075615 |     3.1806867595566894 |     1.8602230772768634
 Trousdale County     |   2000 | 0.65758572373798310824 | 0.61293535431992460938 |     2.8412794052801510 |     1.2541134229394095
 Hickman County       |   2000 | 0.66596170140786071625 | 0.41860757894787326219 |     6.8314338067121446 |     1.5131584371095510
 Goliad County        |   2000 | 0.73067784073753979804 | 0.35185523334784125505 |     1.5113438449829749 | 0.57526316161617913467
 Los Alamos County    |   2000 | 0.73793981150628487463 | 0.62253564135076623607 |     2.5087721568622376 |     2.4180884845493857
 Bond County          |   2000 | 0.79285331863727939301 | 0.71209950381966242343 |     4.6410500691276201 |     2.7080115423241525
 Story County         |   2000 | 0.86122632368975108340 | 0.85178821093158807502 |     4.5902986818674856 |     3.9860130518407291
 Sierra County        |   2000 | 0.87108702501608975773 | 0.84678588362825563040 |     2.1303062894200252 |     1.5588962503285490
 Ogle County          |   2000 | 0.89333238082939280621 | 0.77089151646688621159 |     5.1937921432694309 |     1.7277964749141994
 Moffat County        |   2000 | 0.95121421129341206586 | 0.82782456121638125510 |     2.2832964183503642 |     2.1145099816365461
 Morgan County        |   2000 |     1.0230353671040521 | 0.84732096804311903956 |     2.0397105659871956 |     1.5438021480333090
 Thurston County      |   2000 | 1.03409827357074789851 | 1.01401655242496934284 |     4.4643484228871481 |     1.2818413052732099
 Columbia County      |   2000 |     1.0448624366516751 | 0.83629261022582962780 |     2.7491821262953779 |     1.6500355504974388
 Jefferson County     |   2000 |     1.0534087008104689 | 0.84742056336896931774 |     1.8257042014275005 |     1.6810835485612804
 Coahoma County       |   2000 |     1.0645013998534059 | 0.88684129833088299520 |     3.1012827810628942 |     1.2731524873517172
 Logan County         |   2000 |     1.0715251311961083 | 0.98945321561799508007 |     1.6757396486308946 |     1.5839672068004738
 Polk County          |   2000 |     1.0725380458983010 |     1.0635393986989482 |     2.4551204802976326 |     1.7732978872408467
 McPherson County     |   2000 | 1.07725010436992628015 | 0.83522684132267883422 |     4.5761276126944519 |     1.2689048747973003
 Bradford County      |   2000 | 1.08725557173664108218 | 0.81491204538473248513 |     2.3303725100719645 | 0.86740249993710258124
 Wilcox County        |   2000 |     1.0892223049442343 |     1.0813910470200572 |     1.7321100698823854 |     1.3940934770380517
 Payette County       |   2000 |     1.1004921980287217 | 0.41933477663501914967 |     4.3650062526329498 |     2.0881005611621124
 Evangeline Parish    |   2000 | 1.10373615936949515905 | 1.01111211957008495318 |     4.3076974870472234 |     1.9749370270610825
 Kingfisher County    |   2000 |     1.1202167676033933 | 0.86927307110325290671 |     4.6831898298630900 | 0.90701871032720213895
 Madison Parish       |   2000 | 1.12962632863341706626 | 0.97726427390313701013 |     2.5376051946055904 |     1.9005316385002632
 Liberty County       |   2000 | 1.13577264022732888559 |     1.0531065574318619 |     4.1611171204000895 |     1.5486951814805365
 Mecklenburg County   |   2000 | 1.15107959486643417458 | 0.46862091885946864628 |     6.2208294937909114 |     1.7103134846994912
 Wilkes County        |   2000 |     1.1602508318758933 | 0.56530233528433800677 |     1.5985517294977586 |     1.5568714151298416
 Hooker County        |   2000 | 1.16371009076105937796 | 0.83301276169426732537 |     2.0464994816067851 |     1.2803073387158997
 Skagit County        |   2000 | 1.16374025834663518933 | 0.64553693665133004315 |     4.2406435141427880 |     3.2967090010701145
 Brevard County       |   2000 | 1.17152513954623596579 | 0.68567791266355886948 |     8.2789227564029983 |     3.0787273722511180
 Big Horn County      |   2000 |     1.1781847947730396 | 0.86014051156729270544 |     2.4914504317749715 |     2.0481202810322733
 Pickett County       |   2000 |     1.1803294472840721 | 0.88829747707228787775 |     2.1116336276926839 |     1.6273544431487798
 Cumberland County    |   2000 |     1.1826516453192164 |     1.0181762286892319 |     1.8267656214318842 |     1.6962369781991099
 Greenbrier County    |   2000 |     1.1893902351032756 | 0.75832074520767539748 |     1.1595959508421392 |     1.0599679884672048
 Indian River County  |   2000 |     1.2105260578194129 | 0.73410938441864703253 |     2.2601678543173529 |     1.7566767089682442
 Callaway County      |   2000 |     1.2122983033873327 | 0.56665718430285459501 |     3.6087328646303840 |     2.6013322053997447
 Floyd County         |   2000 |     1.2349913458258085 | 0.95449127873211544680 |     2.1887441433133862 |     1.4362187712385270
 Sequoyah County      |   2000 |     1.2380456358955209 | 0.66092249381954845533 |     4.2869875465803999 |     2.8973523157037961
 Charles Mix County   |   2000 |     1.2709629164298673 |     1.1327699631722475 |     3.2607083907431300 |     1.1230953403261546
 Nantucket County     |   2000 |     1.2793356657021641 | 0.52986143025871814838 |     3.2379104918925565 |     2.6298796187660470
 Coffee County        |   2000 |     1.3007321137936295 | 0.62174832335902832179 |     6.1917720040033332 |     1.4244764031825326
 Eagle County         |   2000 |     1.3087775641681775 | 0.62954252401108303787 | 0.54217996509442925582 | 0.45481728296363035695
 McLean County        |   2000 |     1.3335922711618482 | 0.76397284514262104402 |     4.1009886816594345 |     2.2313639960351546
 Clearwater County    |   2000 |     1.3561401400190611 |     1.2700615806161118 |     2.9820136672847803 |     2.7039567173654317
 Pennington County    |   2000 |     1.3626837424753244 | 1.03036861720157818158 |     1.5856620183820876 |     1.5543095357570006
 Charlottesville city |   2000 |     1.3720505263857365 | 0.99153848673553799596 |     1.8777709362612160 |     1.4571676462174851
 McLeod County        |   2000 |     1.3851024514433540 |     1.3107051376273946 | 0.30415622786529419518 | 0.30211007340934904172
 Faulkner County      |   2000 |     1.4145388963763069 | 0.93674439922366713091 |     3.0926666050700346 |     1.1005989119286486
 Schenectady County   |   2000 |     1.4274774113655959 |     1.2552158366051463 |     2.5587394970979370 |     1.5319927412585684
 Waller County        |   2000 |     1.4692476887010922 | 0.30188384700418037419 |     6.1377080643672487 |     5.5339664657358590
 Tate County          |   2000 |     1.4710759569721133 | 0.80341992061510072617 |     3.5810770561840375 |     1.1872591528626167
 Surry County         |   2000 |     1.4913262835508231 | 0.46623832377182322984 |     2.8555882179657727 |     1.9232952902808527
 Brewster County      |   2000 |     1.4958268569523682 | 0.82281416889053261295 |     1.8631086284759268 | 0.99894455388559708903
 Johnston County      |   2000 |     1.5194370272910392 |     1.4954308721560006 |     2.6388103159493293 |     1.3617959159418806
 Portage County       |   2000 |     1.5201141239876792 |     1.0523759350600528 |     1.2889699425288592 | 0.76496805581930382040
 Worcester County     |   2000 |     1.5270960896356362 | 0.51522608048064028008 |     3.2621533106922655 |     2.6360950692167418
 Perkins County       |   2000 |     1.5383893886956008 | 0.90936202043368576754 |     3.6447872850870687 |     1.5321352680487101
 Watauga County       |   2000 |     1.6068033901409741 |     1.2313036100762402 |     1.9423434638504243 | 0.65972619651643976887
 Mitchell County      |   2000 |     1.6318127613125585 |     1.2316998876378297 |     1.3401474688175370 |     1.1893235240025933
 Washtenaw County     |   2000 |     1.6894985565196371 |     1.0593386210282446 |     2.2174338412490213 |     1.9785513396311954
 Winnebago County     |   2000 |     1.6902986207073155 | 0.57766617665346915413 |     2.8994225596605355 |     2.5101820677530097
 Emery County         |   2000 |     1.7034527469396435 |     1.4065021328162084 |     2.2748187197699626 |     1.5315440035725471
 Park County          |   2000 |     1.7154629794131290 |     1.2896005478239171 |     2.2810355995629436 |     2.1262220797344100
 Hood River County    |   2000 |     1.7496550466537911 | 0.80423261713782752957 |     1.4563001584624035 | 0.51064375974059773972
 Childress County     |   2000 |     1.7615300533525671 | 0.65084467931544888497 |     2.8345304317571859 |     1.7851982410042239
 Hart County          |   2000 |     1.7682282475793080 | 0.40948722873198824358 |     2.7618553356180058 |     2.1293118515080124
 Wheeler County       |   2000 |     1.7752974315615201 |     1.1566953952708481 |     5.7423258258455116 | 0.91290498622103362611
 Burleigh County      |   2000 |     1.7895551689677050 |     1.0362576622975166 |     1.2944032749737343 | 1.01725580458889843297
 Alcona County        |   2000 |     1.7938136061726800 |     1.0666982205917358 |     7.1770536440456123 |     1.3742238807769128
 Whitley County       |   2000 |     1.8102776940114592 | 0.82438369879785274263 |     2.2039521744556196 |     1.6744423018950996
 Baldwin County       |   2000 |     1.8314188917505781 |     1.3090513611956406 |     2.2128809917138598 |     1.7598394531051409
 Texas County         |   2000 |     1.8331015133662654 |     1.7270023741494943 |     1.8997941316112217 |     1.1758473890473352
 Mellette County      |   2000 |     1.8340796571288029 |     1.3487872635917297 |     2.7378513255253521 |     1.4643055133535188
 Will County          |   2000 |     1.9050530024286265 |     1.7164066243988145 |     2.7582927684406667 |     1.1460364210985392
 Sullivan County      |   2000 |     1.9256074935517444 | 0.50652528402788769729 |     3.9799656843432726 |     2.2946568018317895
 Daggett County       |   2000 |     1.9459942581891225 |     1.1498022406913735 |     1.9122769661281322 |     1.4318691641409215
 Gentry County        |   2000 |     1.9763461075664941 | 0.76640518412085519580 |     2.5315078276080659 |     1.3574873642240860
 Chaffee County       |   2000 |     2.0193599511080956 |     1.2916551674984473 |     7.4586820221656178 |     1.4364972319120053
 Rabun County         |   2000 |     2.0615146945271577 | 0.58788276543368652994 |     2.6761683904869098 |     1.6827104304337399
 Dorchester County    |   2000 |     2.1007689615352692 |     1.3497697193677871 |     2.3235600842372298 |     1.0265876404454570
 Kent County          |   2000 |     2.1178199815731831 |     1.0152737934043563 |     2.3702270513480259 |     1.5364309062176322
 Vermilion Parish     |   2000 |     2.1526767688707123 |     1.0207708545873849 |     1.6496770604295743 | 0.75960598175088460043
 Hidalgo County       |   2000 |     2.2289792070019129 |     1.7829332051540312 | 1.04998434933237235235 | 0.61667202068471893643
 Lubbock County       |   2000 |     2.2296218214373385 | 0.94350117767011010030 |     1.3543717201921440 | 0.73489010312972489420
 Clarke County        |   2000 |     2.3320166353511026 |     1.0390782274846079 |     2.9075761361422356 |     1.3234751752589598
 Williamsburg County  |   2000 |     2.3447485548283064 |     2.2474707360360902 | 0.59390871875696083588 | 0.55739916695431264050
 Collin County        |   2000 |     2.4259507412826988 |     1.3795308647004131 |     4.2981582144287859 | 0.93537079222219767849
 Genesee County       |   2000 |     2.4331895446855569 | 0.78925031444911967528 |     2.2215726625683239 | 0.84258544583268539192
 Beaver County        |   2000 |     2.5279060970909137 |     1.1108719516140540 |     2.5873250975393117 |     1.4601456831625312
 Chelan County        |   2000 |     2.5477278786328543 | 0.51581873818159191650 |     1.3490267530879451 | 0.73432186918496107781
 Young County         |   2000 |     2.6360048648253236 |     2.1783715638339524 |     1.5071269710073749 |     1.3381769205472664
 Hutchinson County    |   2000 |     2.6382171654696212 | 0.71981854230207843705 | 0.95465098871501167665 | 0.88609945767669184982
 Juab County          |   2000 |     2.6714373181350846 |     1.6000918173060231 |     1.7575471705819550 |     1.0958597495567412
 Sheboygan County     |   2000 |     2.7313276610083821 |     1.5151704725945760 | 0.71364935626719017587 | 0.34854775488321962160
 Carson City          |   2000 |     2.7832609035998053 | 0.78231432749742567076 |     2.3399338295137875 |     1.9780476090471496
 Kit Carson County    |   2000 |     2.7976490929089901 |     1.3444084779951840 |     1.6861434749555854 |     1.6649431585053786
 Augusta County       |   2000 |     2.9770277744429046 |     1.4473089792736660 |     2.2909461759015362 |     1.9508890397660086
 Guadalupe County     |   2000 |     3.0802457109507124 |     1.2409806564096601 |     4.8665351377386067 |     1.7061272855765367
 Pocahontas County    |   2000 |     3.1668540587201786 | 0.70066763350636324081 |     1.9315368056886730 |     1.7395467888072614
 Armstrong County     |   2000 |     3.2357493077762003 |     1.0977313364843783 |     2.4116785627955778 |     1.3536287469458216
