Timing is on.
 ss_item_sk | ratio | store_qty | store_wholesale_cost | store_sales_price | other_chan_qty | other_chan_wholesale_cost | other_chan_sales_price 
------------+-------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------
         25 | 31.00 |        93 |                84.54 |             95.06 |              3 |                     97.95 |                  26.79
         29 |  0.00 |        28 |                56.15 |             30.41 |             48 |                     29.49 |                  72.45
        203 |  1.00 |        32 |                81.30 |              3.99 |             23 |                     59.51 |                 138.68
        331 |  0.00 |         9 |                81.91 |             23.26 |             45 |                     19.84 |                   1.77
        365 |  0.00 |        27 |                40.10 |              5.59 |             79 |                     98.32 |                  99.81
        385 |  0.00 |        45 |                58.58 |             80.93 |             49 |                     23.81 |                  43.09
        487 |       |           |                      |             25.97 |              7 |                     92.38 |                  84.54
        536 |  9.00 |        63 |                57.19 |             35.34 |              7 |                     80.03 |                  75.06
        563 |  0.00 |         7 |                77.01 |            101.34 |             69 |                     93.18 |                  17.89
        577 |  1.00 |        20 |                65.85 |             79.22 |             19 |                     19.21 |                  10.90
        581 |  4.00 |        90 |                72.09 |             44.98 |             21 |                     23.23 |                  25.56
        581 |  1.00 |        67 |                94.09 |             76.66 |             41 |                      7.40 |                   6.85
        599 |  1.00 |        98 |                72.08 |              0.72 |             72 |                     94.44 |                  25.04
        721 |  1.00 |        55 |                89.36 |            129.79 |             50 |                     83.03 |                 124.31
        839 |  1.00 |        86 |                 2.79 |              1.81 |             77 |                     23.58 |                  18.73
        842 |  1.00 |        43 |                73.00 |             75.80 |             25 |                     73.13 |                  12.92
        860 |  1.00 |        84 |                51.77 |             60.62 |             57 |                      3.35 |                   1.54
        905 |  4.00 |        87 |                 1.31 |              0.90 |             19 |                     37.04 |                  15.33
        938 |  0.00 |         8 |                75.94 |             52.82 |             13 |                     12.47 |                  10.26
        959 |  0.00 |        20 |                42.52 |             18.47 |             58 |                      4.75 |                   6.33
        968 |  0.00 |        70 |                87.01 |             31.94 |             77 |                     64.64 |                  92.78
       1238 |  3.00 |        18 |                81.18 |             35.92 |              5 |                      3.08 |                   3.54
       1247 |  0.00 |        35 |                86.39 |             31.35 |             72 |                     25.59 |                  14.12
       1412 |  0.00 |        22 |                20.05 |             11.85 |             91 |                     71.88 |                   6.55
       1511 |  1.00 |        98 |                38.53 |              0.00 |             85 |                     54.57 |                  66.26
       1514 |  0.00 |        33 |                 3.66 |              1.61 |             52 |                     19.34 |                   6.08
       1591 |  0.00 |        24 |                76.68 |              1.51 |             74 |                     18.28 |                   6.54
       1619 |  0.00 |        56 |                      |                   |             59 |                     92.53 |                  91.41
       1679 |  0.00 |        58 |                13.82 |              3.19 |             98 |                     99.51 |                  16.31
       1787 |  5.00 |        40 |                63.00 |              9.51 |              7 |                     77.58 |                  68.35
       1879 |  0.00 |        17 |                66.01 |             42.41 |             93 |                     42.39 |                  11.33
       1891 |  0.00 |        38 |                58.60 |             68.82 |             74 |                     32.77 |                  35.06
       2165 |  0.00 |        21 |                51.51 |             37.73 |             53 |                     10.03 |                  17.51
