Timing is on.
      gross_margin       |                     i_category                     |                      i_class                       | lochierarchy | rank_within_parent 
-------------------------+----------------------------------------------------+----------------------------------------------------+--------------+--------------------
 -0.43365797583849683241 |                                                    |                                                    |            2 |                  1
 -0.47135487872597543505 |                                                    |                                                    |            1 |                  1
 -0.43918551709074988891 | Shoes                                              |                                                    |            1 |                  2
 -0.43855841110434066039 | Women                                              |                                                    |            1 |                  3
 -0.43828213147312757733 | Electronics                                        |                                                    |            1 |                  4
 -0.43667721758719955133 | Music                                              |                                                    |            1 |                  5
 -0.43533726944277339476 | Jewelry                                            |                                                    |            1 |                  6
 -0.43474161893308010062 | Men                                                |                                                    |            1 |                  7
 -0.43239783902975303312 | Children                                           |                                                    |            1 |                  8
 -0.42926803145375185950 | Home                                               |                                                    |            1 |                  9
 -0.42840247233383540532 | Sports                                             |                                                    |            1 |                 10
 -0.42258400370899622394 | Books                                              |                                                    |            1 |                 11
 -0.46546499358401434107 | Books                                              | travel                                             |            0 |                  1
 -0.45980727131789657153 | Books                                              | romance                                            |            0 |                  2
 -0.45539090976777082420 | Books                                              | fiction                                            |            0 |                  3
 -0.44709874383925224766 | Books                                              | entertainments                                     |            0 |                  4
 -0.44545118890277032381 | Books                                              | cooking                                            |            0 |                  5
 -0.43851641712372460576 | Books                                              | reference                                          |            0 |                  6
 -0.43808460759707553701 | Books                                              | self-help                                          |            0 |                  7
 -0.41204747193403643362 | Books                                              | business                                           |            0 |                  8
 -0.41195105861063483852 | Books                                              | arts                                               |            0 |                  9
 -0.40991367693837933658 | Books                                              | mystery                                            |            0 |                 10
 -0.40652109404955949707 | Books                                              | home repair                                        |            0 |                 11
 -0.40045470132222502066 | Books                                              | parenting                                          |            0 |                 12
 -0.39915883055890155687 | Books                                              | sports                                             |            0 |                 13
 -0.39365450087471005766 | Books                                              | computers                                          |            0 |                 14
 -0.38362488007758673538 | Books                                              | history                                            |            0 |                 15
 -0.38002114528635871760 | Books                                              | science                                            |            0 |                 16
 -0.48351286743429013642 | Children                                           |                                                    |            0 |                  1
 -0.44671752265548169807 | Children                                           | newborn                                            |            0 |                  2
 -0.44476540358200036937 | Children                                           | toddlers                                           |            0 |                  3
 -0.41948977106238451295 | Children                                           | school-uniforms                                    |            0 |                  4
 -0.41811106663918438616 | Children                                           | infants                                            |            0 |                  5
 -0.46389201212456508722 | Electronics                                        | automotive                                         |            0 |                  1
 -0.45938364443828660771 | Electronics                                        | portable                                           |            0 |                  2
 -0.45656275178338659276 | Electronics                                        | cameras                                            |            0 |                  3
 -0.45394591392063798332 | Electronics                                        | dvd/vcr players                                    |            0 |                  4
 -0.45237107092293689121 | Electronics                                        | audio                                              |            0 |                  5
 -0.45190112590443131387 | Electronics                                        | disk drives                                        |            0 |                  6
 -0.44845552256168709549 | Electronics                                        | karoke                                             |            0 |                  7
 -0.44647496549924269175 | Electronics                                        | camcorders                                         |            0 |                  8
 -0.44299318551937414571 | Electronics                                        | musical                                            |            0 |                  9
 -0.43906741684507670813 | Electronics                                        | memory                                             |            0 |                 10
 -0.42723662327383247245 | Electronics                                        | wireless                                           |            0 |                 11
 -0.42530290697933371461 | Electronics                                        | televisions                                        |            0 |                 12
 -0.42243287408499483602 | Electronics                                        | stereo                                             |            0 |                 13
 -0.41583637988758949624 | Electronics                                        | scanners                                           |            0 |                 14
